,gene_name,start,stop,strand,gene_product,cog,uniprot,regulator,accession,ncbi_protein,new_locus_tag,new_accession,operon
ABUW_2362,cysE,2348451,2349266,+,serine acetyltransferase,Amino acid transport and metabolism,,,CP008706.1,AKA32089.1,ABUW_RS11490,NZ_CP008706.1,Op1209
ABUW_2363,ABUW_2363,2349370,2350311,+,hypothetical protein,Function unknown,,,CP008706.1,AKA32090.1,ABUW_RS11495,NZ_CP008706.1,Op1210
ABUW_2364,ABUW_2364,2350428,2352434,+,hypothetical protein,Function unknown,,,CP008706.1,AKA32091.1,ABUW_RS11500,NZ_CP008706.1,Op1211
ABUW_2365,ahpF1,2352488,2354053,-,alkyl hydroperoxide reductase%2C F subunit,Energy production and conversion,,,CP008706.1,AKA32092.1,ABUW_RS11505,NZ_CP008706.1,Op1212
ABUW_2366,chrA2,2354230,2354751,-,chromate transporter,Inorganic ion transport and metabolism,,,CP008706.1,AKA32093.1,ABUW_RS11510,NZ_CP008706.1,Op1213
ABUW_2367,xxx,2354751,2355311,-,chromate transporter,Inorganic ion transport and metabolism,,,CP008706.1,AKA32094.1,ABUW_RS11515,NZ_CP008706.1,Op1213
ABUW_2368,ABUW_2368,2355413,2356315,+,transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA32095.1,ABUW_RS11520,NZ_CP008706.1,
ABUW_2369,arsB1,2356407,2357441,-,arsenical-resistance protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA32096.1,ABUW_RS11525,NZ_CP008706.1,Op1214
ABUW_2370,arsR1,2357546,2357875,-,transcriptional regulator%2C ArsR family,Transcription,,,CP008706.1,AKA32097.1,ABUW_RS11530,NZ_CP008706.1,Op1215
ABUW_2371,arsC1,2357960,2358388,+,arsenate reductase,Inorganic ion transport and metabolism,,,CP008706.1,AKA32098.1,ABUW_RS11535,NZ_CP008706.1,
ABUW_2372,ABUW_2372,2358457,2358618,-,hypothetical protein,Function unknown,,,CP008706.1,AKA32099.1,ABUW_RS11540,NZ_CP008706.1,Op1216
ABUW_2373,ABUW_2373,2358676,2360550,-,amidohydrolase,Function unknown,,,CP008706.1,AKA32100.1,ABUW_RS11545,NZ_CP008706.1,Op1217
ABUW_2374,ABUW_2374,2360880,2361566,-,isochorismatase hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA32101.1,ABUW_RS11550,NZ_CP008706.1,Op1218
ABUW_2375,ABUW_2375,2361762,2362652,+,transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA32102.1,ABUW_RS11555,NZ_CP008706.1,
ABUW_2376,ABUW_2376,2362692,2363429,-,transcriptional regulator%2C GntR family,Transcription,,,CP008706.1,AKA32103.1,ABUW_RS11560,NZ_CP008706.1,
ABUW_2377,ABUW_2377,2363839,2365308,+,permease,Nucleotide transport and metabolism,,,CP008706.1,AKA32104.1,ABUW_RS11565,NZ_CP008706.1,Op1219
ABUW_2378,hyu,2365305,2366039,+,Asp/Glu racemase,Amino acid transport and metabolism,,,CP008706.1,AKA32105.1,ABUW_RS11570,NZ_CP008706.1,Op1219
ABUW_2379,tauD,2366107,2366988,-,taurine dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA32106.1,ABUW_RS11575,NZ_CP008706.1,Op1220
ABUW_2380,tauC,2366997,2367866,-,taurine transport system permease protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA32107.1,ABUW_RS11580,NZ_CP008706.1,Op1220
ABUW_2381,tauB,2367863,2368657,-,taurine import ATP-binding protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA32108.1,ABUW_RS11585,NZ_CP008706.1,Op1220
ABUW_2382,tauA,2368667,2369707,-,taurine ABC transporter%2C periplasmic binding protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA32109.1,ABUW_RS11590,NZ_CP008706.1,Op1220
ABUW_2383,ABUW_2383,2370150,2371334,+,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA32110.1,ABUW_RS11595,NZ_CP008706.1,
ABUW_2384,ABUW_2384,2371396,2372862,-,sugar transport protein,Amino acid transport and metabolism,,,CP008706.1,AKA32111.1,ABUW_RS11600,NZ_CP008706.1,Op1221
ABUW_2385,ABUW_2385,2373057,2374448,-,monooxygenase%2C NtaA/SnaA/SoxA family,Energy production and conversion,,,CP008706.1,AKA32112.1,ABUW_RS11605,NZ_CP008706.1,Op1222
ABUW_2386,ABUW_2386,2374626,2375921,-,acyl-CoA dehydrogenase family protein,Lipid transport and metabolism,,,CP008706.1,AKA32113.1,ABUW_RS11610,NZ_CP008706.1,Op1223
ABUW_2387,ABUW_2387,2376040,2376858,-,hypothetical protein,No COG annotation,,YdcR,CP008706.1,AKA32114.1,ABUW_RS11615,NZ_CP008706.1,Op1224
ABUW_2388,ABUW_2388,2377371,2377493,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA32115.1,,,
ABUW_2389,cioA,2377512,2378957,+,cytochrome bd ubiquinol oxidase%2C subunit I,Energy production and conversion,,YdcR,CP008706.1,AKA32116.1,ABUW_RS11620,NZ_CP008706.1,Op1225
ABUW_2390,cioB,2378950,2379954,+,cytochrome D ubiquinol oxidase%2C subunit II,Energy production and conversion,,YdcR,CP008706.1,AKA32117.1,ABUW_RS11625,NZ_CP008706.1,Op1225
ABUW_2391,ABUW_2391,2379969,2380103,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA32118.1,ABUW_RS20205,NZ_CP008706.1,Op1225
ABUW_2392,ABUW_2392,2380202,2381620,+,aminotransferase,Transcription,,,CP008706.1,AKA32119.1,ABUW_RS11635,NZ_CP008706.1,Op1226
ABUW_2393,mdcR,2381718,2382635,+,malonate utilization transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA32120.1,ABUW_RS11640,NZ_CP008706.1,Op1227
ABUW_2394,madM,2382690,2383454,-,malonate transporter%2C MadM subunit,Function unknown,,,CP008706.1,AKA32121.1,ABUW_RS11645,NZ_CP008706.1,Op1228
ABUW_2395,madL,2383496,2383897,-,malonate transporter%2C MadL subunit,Function unknown,,,CP008706.1,AKA32122.1,ABUW_RS11650,NZ_CP008706.1,Op1228
ABUW_2396,ABUW_2396,2383951,2384883,-,malonate decarboxylase%2C epsilon subunit,Lipid transport and metabolism,,,CP008706.1,AKA32123.1,ABUW_RS11655,NZ_CP008706.1,Op1229
ABUW_2397,mdcG,2384896,2385498,-,holo-ACP synthase%2C malonate decarboxylase-specific,Coenzyme transport and metabolism,,,CP008706.1,AKA32124.1,ABUW_RS11660,NZ_CP008706.1,Op1229
ABUW_2398,mdcE,2385495,2386322,-,malonate decarboxylase%2C gamma subunit,Lipid transport and metabolism,,,CP008706.1,AKA32125.1,ABUW_RS11665,NZ_CP008706.1,Op1229
ABUW_2399,mdcD,2386319,2387170,-,malonate decarboxylase%2C beta subunit,Lipid transport and metabolism,,,CP008706.1,AKA32126.1,ABUW_RS11670,NZ_CP008706.1,Op1229
ABUW_2400,mdcC,2387163,2387462,-,malonate decarboxylase acyl carrier protein,Energy production and conversion,,,CP008706.1,AKA32127.1,ABUW_RS11675,NZ_CP008706.1,Op1229
ABUW_2401,mdcB,2387465,2388349,-,triphosphoribosyl-dephospho-CoA synthase MdcB,Coenzyme transport and metabolism,,,CP008706.1,AKA32128.1,ABUW_RS11680,NZ_CP008706.1,Op1229
ABUW_2402,mdcA,2388349,2390028,-,malonate decarboxylase%2C alpha subunit,Lipid transport and metabolism,,,CP008706.1,AKA32129.1,ABUW_RS11685,NZ_CP008706.1,Op1229
ABUW_2403,ABUW_2403,2390433,2391620,+,MFS permease,Amino acid transport and metabolism,,,CP008706.1,AKA32130.1,ABUW_RS11690,NZ_CP008706.1,
ABUW_2404,ABUW_2404,2391629,2392222,-,acetyltransferase,"Translation, ribosomal structure and biogenesis",,PdxW2,CP008706.1,AKA32131.1,ABUW_RS11695,NZ_CP008706.1,Op1230
ABUW_2405,ABUW_2405,2392265,2392900,-,negative transcriptional regulator,Transcription,,PdxW2,CP008706.1,AKA32132.1,ABUW_RS11700,NZ_CP008706.1,Op1231
ABUW_2406,ABUW_2406,2393025,2394506,+,transcriptional regulator%2C GntR family,Transcription,,,CP008706.1,AKA32133.1,ABUW_RS11705,NZ_CP008706.1,
ABUW_2407,ABUW_2407,2394514,2395203,-,LrgB family protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA32134.1,ABUW_RS11710,NZ_CP008706.1,Op1232
ABUW_2408,ABUW_2408,2395217,2395648,-,LrgA family protein,Function unknown,,ABUW_1645,CP008706.1,AKA32135.1,ABUW_RS11715,NZ_CP008706.1,Op1232
ABUW_2409,ABUW_2409,2395759,2396664,+,transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA32136.1,ABUW_RS11720,NZ_CP008706.1,Op1233
ABUW_2410,ABUW_2410,2396784,2397410,+,glutathione S-transferase family protein,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA32137.1,ABUW_RS11725,NZ_CP008706.1,Op1234
ABUW_2411,ABUW_2411,2397444,2398304,+,glutathione S-transferase family protein,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA32138.1,ABUW_RS11730,NZ_CP008706.1,Op1234
ABUW_2412,ABUW_2412,2398342,2399262,-,transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA32139.1,ABUW_RS11735,NZ_CP008706.1,
ABUW_2413,ABUW_2413,2399388,2400125,+,3-oxoacyl-[acyl-carrier-protein] reductase,Lipid transport and metabolism,,,CP008706.1,AKA32140.1,ABUW_RS11740,NZ_CP008706.1,Op1235
ABUW_2414,ABUW_2414,2400358,2400867,+,rhodanese domain protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA32141.1,ABUW_RS11745,NZ_CP008706.1,Op1236
ABUW_2415,srpH,2400904,2401827,+,serine acetyltransferase,Amino acid transport and metabolism,,,CP008706.1,AKA32142.1,ABUW_RS11750,NZ_CP008706.1,Op1236
ABUW_2416,ABUW_2416,2402068,2403000,+,hypothetical protein,Signal transduction mechanisms,,,CP008706.1,AKA32143.1,ABUW_RS11755,NZ_CP008706.1,Op1237
ABUW_2417,ABUW_2417,2402975,2404936,+,cysteine desulfurase,Amino acid transport and metabolism,,,CP008706.1,AKA32144.1,ABUW_RS11760,NZ_CP008706.1,Op1238
ABUW_2418,ABUW_2418,2405579,2406217,-,lysine exporter protein,Amino acid transport and metabolism,,,CP008706.1,AKA32145.1,ABUW_RS11765,NZ_CP008706.1,
ABUW_2419,ABUW_2419,2406309,2407244,+,transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA32146.1,ABUW_RS11770,NZ_CP008706.1,
ABUW_2420,ABUW_2420,2407492,2408358,-,ABC transporter%2C periplasmic binding protein,Amino acid transport and metabolism,,,CP008706.1,AKA32147.1,ABUW_RS11775,NZ_CP008706.1,Op1239
ABUW_2421,ABUW_2421,2408441,2409301,-,ABC transporter%2C periplasmic binding protein,Amino acid transport and metabolism,,,CP008706.1,AKA32148.1,ABUW_RS11780,NZ_CP008706.1,Op1240
ABUW_2422,ABUW_2422,2409332,2410063,-,glutamate/aspartate ABC transporter%2C ATP-binding protein,Amino acid transport and metabolism,,,CP008706.1,AKA32149.1,ABUW_RS11785,NZ_CP008706.1,Op1240
ABUW_2423,ABUW_2423,2410066,2410731,-,ArtM protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA32150.1,ABUW_RS11790,NZ_CP008706.1,Op1240
ABUW_2424,ABUW_2424,2410721,2411380,-,ABC-type amino acid transport system,Inorganic ion transport and metabolism,,,CP008706.1,AKA32151.1,ABUW_RS11795,NZ_CP008706.1,Op1240
ABUW_2425,ABUW_2425,2411666,2411950,-,acetyltransferase%2C gnat family,Function unknown,,,CP008706.1,AKA32152.1,ABUW_RS11800,NZ_CP008706.1,Op1241
ABUW_2426,ABUW_2426,2412094,2413053,-,two component transcriptional regulator%2C LuxR family,Signal transduction mechanisms,,,CP008706.1,AKA32153.1,ABUW_RS11805,NZ_CP008706.1,Op1242
ABUW_2427,ABUW_2427,2413050,2416514,-,putative two-component sensor kinase,Signal transduction mechanisms,,,CP008706.1,AKA32154.1,ABUW_RS11810,NZ_CP008706.1,Op1242
ABUW_2428,ABUW_2428,2416710,2418326,+,sensor histidine kinase/response regulator,Nucleotide transport and metabolism,,,CP008706.1,AKA32155.1,ABUW_RS11815,NZ_CP008706.1,
ABUW_2429,ABUW_2429,2418383,2418838,-,proline dehydrogenase transcriptional activator,Transcription,,,CP008706.1,AKA32156.1,ABUW_RS11820,NZ_CP008706.1,
ABUW_2430,ABUW_2430,2418995,2419606,+,transporter%2C LysE family,Amino acid transport and metabolism,,,CP008706.1,AKA32157.1,ABUW_RS11825,NZ_CP008706.1,
ABUW_2431,umuD,2419678,2420289,-,DNA polymerase V component,Transcription,,"UmuDAb,UmuDAb,UmuDAb",CP008706.1,AKA32158.1,ABUW_RS11830,NZ_CP008706.1,
ABUW_2432,ABUW_2432,2420572,2420808,+,hypothetical protein,No COG annotation,,UmuDAb,CP008706.1,AKA32159.1,ABUW_RS11835,NZ_CP008706.1,
ABUW_2433,ABUW_2433,2420869,2422104,-,KGG domain-containing protein,No COG annotation,,AbaM,CP008706.1,AKA32160.1,,,
ABUW_2434,ABUW_2434,2422589,2423002,+,hypothetical protein,No COG annotation,,ABUW_1645,CP008706.1,AKA32161.1,ABUW_RS11845,NZ_CP008706.1,Op1243
ABUW_2435,ABUW_2435,2423144,2424022,+,oxidoreductase,Lipid transport and metabolism,,ABUW_1645,CP008706.1,AKA32162.1,ABUW_RS11850,NZ_CP008706.1,Op1244
ABUW_2436,katE,2424078,2426216,-,catalase,Energy production and conversion,,ABUW_1645,CP008706.1,AKA32163.1,ABUW_RS11855,NZ_CP008706.1,Op1245
ABUW_2437,ABUW_2437,2426277,2427686,-,heme oxygenase-like protein,Function unknown,,Fur,CP008706.1,AKA32164.1,ABUW_RS11860,NZ_CP008706.1,Op1246
ABUW_2438,cinA1,2428002,2428481,+,competence/damage-inducible protein CinA,Function unknown,,Fur,CP008706.1,AKA32165.1,ABUW_RS11865,NZ_CP008706.1,Op1247
ABUW_2439,ABUW_2439,2428766,2428987,+,hypothetical protein,No COG annotation,,AbaM,CP008706.1,AKA32166.1,ABUW_RS11870,NZ_CP008706.1,Op1248
ABUW_2440,ABUW_2440,2429094,2429411,+,surface antigen,No COG annotation,,AbaM,CP008706.1,AKA32167.1,ABUW_RS11875,NZ_CP008706.1,Op1249
ABUW_2441,ABUW_2441,2429496,2429717,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA32168.1,ABUW_RS11880,NZ_CP008706.1,Op1250
ABUW_2442,ABUW_2442,2429805,2430233,-,hypothetical protein,No COG annotation,,"AbaM,ABUW_1645",CP008706.1,AKA32169.1,ABUW_RS11885,NZ_CP008706.1,Op1251
ABUW_2443,ABUW_2443,2430503,2430646,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA32170.1,ABUW_RS20475,NZ_CP008706.1,Op1252
ABUW_2444,ABUW_2444,2431341,2431487,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA32171.1,,,
ABUW_2445,ABUW_2445,2431615,2431905,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA32172.1,ABUW_RS11895,NZ_CP008706.1,
ABUW_2446,ABUW_2446,2431907,2432812,-,transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA32173.1,ABUW_RS11900,NZ_CP008706.1,
ABUW_2447,ABUW_2447,2432924,2434162,+,lipolytic enzyme,Amino acid transport and metabolism,,,CP008706.1,AKA32174.1,ABUW_RS11905,NZ_CP008706.1,
ABUW_2448,ABUW_2448,2434209,2435492,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA32175.1,ABUW_RS11910,NZ_CP008706.1,Op1253
ABUW_2449,ABUW_2449,2435735,2436406,-,putative SAM-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA32176.1,ABUW_RS11915,NZ_CP008706.1,Op1254
ABUW_2450,ABUW_2450,2436477,2438171,-,long-chain fatty-acid-CoA ligase,Lipid transport and metabolism,,ABUW_1645,CP008706.1,AKA32177.1,ABUW_RS11920,NZ_CP008706.1,Op1255
ABUW_2451,ABUW_2451,2438282,2438899,-,transcriptional regulator AcrR family,Transcription,,ABUW_1645,CP008706.1,AKA32178.1,ABUW_RS11925,NZ_CP008706.1,Op1256
ABUW_2452,ABUW_2452,2439044,2440216,+,isovaleryl-CoA dehydrogenase,Lipid transport and metabolism,,ABUW_1645,CP008706.1,AKA32179.1,ABUW_RS11930,NZ_CP008706.1,Op1257
ABUW_2453,ABUW_2453,2440241,2441842,+,methylcrotonoyl-CoA carboxylase beta chain,Lipid transport and metabolism,,ABUW_1645,CP008706.1,AKA32180.1,ABUW_RS11935,NZ_CP008706.1,Op1257
ABUW_2454,mgh,2441852,2442655,+,3-methylglutaconyl-CoA hydratase,Lipid transport and metabolism,,ABUW_1645,CP008706.1,AKA32181.1,ABUW_RS11940,NZ_CP008706.1,Op1257
ABUW_2455,ABUW_2455,2442667,2444658,+,methylcrotonoyl-CoA carboxylase subunit alpha,Lipid transport and metabolism,,ABUW_1645,CP008706.1,AKA32182.1,ABUW_RS11945,NZ_CP008706.1,Op1257
ABUW_2456,ABUW_2456,2444655,2445557,+,hydroxymethylglutaryl-CoA lyase,Amino acid transport and metabolism,,ABUW_1645,CP008706.1,AKA32183.1,ABUW_RS11950,NZ_CP008706.1,Op1257
ABUW_2457,ABUW_2457,2445809,2446750,-,transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA32184.1,ABUW_RS11955,NZ_CP008706.1,
ABUW_2458,ABUW_2458,2446955,2450437,+,oxidoreductase,Energy production and conversion,,,CP008706.1,AKA32185.1,ABUW_RS11960,NZ_CP008706.1,
ABUW_2459,ABUW_2459,2450498,2451301,-,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA32186.1,ABUW_RS11965,NZ_CP008706.1,Op1258
ABUW_2460,acdB2,2451498,2453300,-,acyl-CoA dehydrogenase,Energy production and conversion,,,CP008706.1,AKA32187.1,ABUW_RS11970,NZ_CP008706.1,Op1259
ABUW_2461,ABUW_2461,2453621,2454055,+,thioesterase superfamily protein,"Secondary metabolites biosynthesis, transport, and catabolism",,AbaM,CP008706.1,AKA32188.1,ABUW_RS11975,NZ_CP008706.1,
ABUW_2462,ABUW_2462,2454076,2455293,-,major facilitator superfamily MFS_1,Amino acid transport and metabolism,,,CP008706.1,AKA32189.1,ABUW_RS11980,NZ_CP008706.1,Op1260
ABUW_2463,ABUW_2463,2455312,2456628,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA32190.1,ABUW_RS11985,NZ_CP008706.1,Op1260
ABUW_2464,dcaJ,2456665,2457318,-,3-oxoadipate CoA-transferase subunit B,Lipid transport and metabolism,,,CP008706.1,AKA32191.1,ABUW_RS11990,NZ_CP008706.1,Op1260
ABUW_2465,dcaI,2457318,2457986,-,3-oxoadipate CoA-transferase subunit A,Lipid transport and metabolism,,,CP008706.1,AKA32192.1,ABUW_RS11995,NZ_CP008706.1,Op1260
ABUW_2466,dcaK,2458034,2459347,-,MFS short chain dicaboxylate:H+ symporter,Amino acid transport and metabolism,,,CP008706.1,AKA32193.1,ABUW_RS12000,NZ_CP008706.1,Op1261
ABUW_2467,dcaA2,2459376,2460530,-,acyl-CoA dehydrogenase,Energy production and conversion,,,CP008706.1,AKA32194.1,ABUW_RS12005,NZ_CP008706.1,Op1261
ABUW_2468,dcaE,2460842,2461630,+,enoyl-CoA hydratase,Lipid transport and metabolism,,,CP008706.1,AKA32195.1,ABUW_RS12010,NZ_CP008706.1,Op1262
ABUW_2469,dcaC,2461660,2462421,+,3-oxoadipate CoA-transferase%2C subunit B,Lipid transport and metabolism,,,CP008706.1,AKA32196.1,ABUW_RS12015,NZ_CP008706.1,Op1262
ABUW_2470,dcaH,2462483,2464006,+,3-oxoadipate CoA-transferase subunit A,Lipid transport and metabolism,,,CP008706.1,AKA32197.1,ABUW_RS12020,NZ_CP008706.1,Op1263
ABUW_2471,dcaF,2464021,2465226,+,beta-ketoadipyl CoA thiolase,Lipid transport and metabolism,,,CP008706.1,AKA32198.1,ABUW_RS12025,NZ_CP008706.1,Op1263
ABUW_2472,dcaR,2465336,2466178,+,transcriptional regulator%2C IclR family,Transcription,,,CP008706.1,AKA32199.1,ABUW_RS12030,NZ_CP008706.1,Op1264
ABUW_2473,ABUW_2473,2466246,2467415,+,major facilitator superfamily MFS_1,Amino acid transport and metabolism,,,CP008706.1,AKA32200.1,ABUW_RS12035,NZ_CP008706.1,Op1265
ABUW_2474,ABUW_2474,2467451,2468422,-,2-nitropropane dioxygenase,Function unknown,,,CP008706.1,AKA32201.1,ABUW_RS12040,NZ_CP008706.1,
ABUW_2475,ABUW_2475,2468645,2469454,+,enoyl-CoA hydratase/isomerase,Lipid transport and metabolism,,,CP008706.1,AKA32202.1,ABUW_RS12045,NZ_CP008706.1,
ABUW_2476,dcaS,2469521,2470372,-,transcriptional regulator%2C IclR family,Transcription,,,CP008706.1,AKA32203.1,ABUW_RS12050,NZ_CP008706.1,Op1266
ABUW_2477,caiB1,2470553,2471770,-,L-carnitine dehydrogenase,Energy production and conversion,,,CP008706.1,AKA32204.1,ABUW_RS12055,NZ_CP008706.1,Op1267
ABUW_2478,dcaA1,2472102,2473253,+,acyl-CoA dehydrogenase,Energy production and conversion,,,CP008706.1,AKA32205.1,ABUW_RS12060,NZ_CP008706.1,Op1268
ABUW_2479,mucK1,2473315,2474565,+,cis-muconate transport protein,Amino acid transport and metabolism,,,CP008706.1,AKA32206.1,ABUW_RS12065,NZ_CP008706.1,Op1269
ABUW_2480,phnX,2474790,2475605,-,phosphonoacetaldehyde hydrolase,Function unknown,,PhnR,CP008706.1,AKA32207.1,ABUW_RS12070,NZ_CP008706.1,Op1270
ABUW_2481,phnW,2475633,2476820,-,2-aminoethylphosphonate--pyruvate transaminase,Amino acid transport and metabolism,,PhnR,CP008706.1,AKA32208.1,ABUW_RS12075,NZ_CP008706.1,Op1270
ABUW_2482,ABUW_2482,2476847,2478001,-,FAD dependent oxidoreductase,Amino acid transport and metabolism,,,CP008706.1,AKA32209.1,ABUW_RS12080,NZ_CP008706.1,Op1270
ABUW_2483,ABUW_2483,2478103,2479812,-,ABC transporter%2C permease,Inorganic ion transport and metabolism,,PhnR,CP008706.1,AKA32210.1,ABUW_RS12085,NZ_CP008706.1,Op1271
ABUW_2484,ABUW_2484,2479806,2481008,-,ABC transporter%2C ATP-binding protein,Inorganic ion transport and metabolism,,PhnR,CP008706.1,AKA32211.1,ABUW_RS12090,NZ_CP008706.1,Op1271
ABUW_2485,ABUW_2485,2481031,2482068,-,2-aminoethylphosphonate ABC transport system%2C 1-aminoethylphosphonate-binding protein component,Inorganic ion transport and metabolism,,PhnR,CP008706.1,AKA32212.1,ABUW_RS12095,NZ_CP008706.1,Op1271
ABUW_2486,ABUW_2486,2482159,2482881,-,transcriptional regulator%2C GntR family,Transcription,,,CP008706.1,AKA32213.1,ABUW_RS12100,NZ_CP008706.1,Op1272
ABUW_2487,pobA,2483057,2484271,-,4-hydroxybenzoate 3-monooxygenase,Energy production and conversion,,,CP008706.1,AKA32214.1,ABUW_RS12105,NZ_CP008706.1,Op1273
ABUW_2488,pobR,2484413,2485228,+,P-hydroxybenzoate hydroxylase transcriptional activator,Transcription,,,CP008706.1,AKA32215.1,ABUW_RS12110,NZ_CP008706.1,
ABUW_2489,ABUW_2489,2485285,2485881,-,acyl carrier protein phosphodiesterase,Lipid transport and metabolism,,,CP008706.1,AKA32216.1,ABUW_RS12115,NZ_CP008706.1,
ABUW_2490,ABUW_2490,2485980,2486891,+,transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA32217.1,ABUW_RS12120,NZ_CP008706.1,
ABUW_2491,ABUW_2491,2486949,2487332,-,4-carboxymuconolactone decarboxylase,Function unknown,,,CP008706.1,AKA32218.1,ABUW_RS12125,NZ_CP008706.1,Op1274
ABUW_2492,gabD2,2487329,2488786,-,succinate-semialdehyde dehydrogenase (NADP+),Energy production and conversion,,,CP008706.1,AKA32219.1,ABUW_RS12130,NZ_CP008706.1,Op1274
ABUW_2493,ABUW_2493,2488925,2490094,-,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA32220.1,ABUW_RS12135,NZ_CP008706.1,Op1275
ABUW_2494,ABUW_2494,2490120,2491526,-,permease,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA32221.1,ABUW_RS12140,NZ_CP008706.1,Op1275
ABUW_2495,ABUW_2495,2491565,2491708,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA32222.1,ABUW_RS20215,NZ_CP008706.1,Op1275
ABUW_2496,ABUW_2496,2491831,2493300,-,aldehyde dehydrogenase,Energy production and conversion,,,CP008706.1,AKA32223.1,ABUW_RS12145,NZ_CP008706.1,Op1276
ABUW_2497,ABUW_2497,2493312,2494349,-,monooxygenase,Energy production and conversion,,,CP008706.1,AKA32224.1,ABUW_RS12150,NZ_CP008706.1,Op1276
ABUW_2498,ABUW_2498,2494352,2495284,-,flavoprotein oxidoreductase,Function unknown,,,CP008706.1,AKA32225.1,ABUW_RS20220,NZ_CP008706.1,Op1276
