,start,stop,strand,gene_name,length,operon,COG,gene_product,Unnamed: 9,Unnamed: 10,Unnamed: 11,regulator
b2037,2108336,2109584,-,wzxB,1248,rfbBDACX,Cell wall/membrane/envelope biogenesis,<i>O</i>-antigen flippase,,,,nac
b2038,2109580,2110138,-,rfbC,558,rfbBDACX,Cell wall/membrane/envelope biogenesis,"dTDP-4-dehydrorhamnose 3,5-epimerase",,,,nac
b2039,2110137,2111019,-,rfbA,882,rfbBDACX,Cell wall/membrane/envelope biogenesis,dTDP-glucose pyrophosphorylase,,,,nac
b2040,2111076,2111976,-,rfbD,900,rfbBDACX,Cell wall/membrane/envelope biogenesis,dTDP-4-dehydrorhamnose reductase,,,,
b2041,2111975,2113061,-,rfbB,1086,rfbBDACX,Cell wall/membrane/envelope biogenesis,"dTDP-glucose 4,6-dehydratase",,,,
b2042,2113433,2114327,-,wcaN,894,galF,Cell wall/membrane/envelope biogenesis,"UTP:glucose-1-phosphate uridylyltransferase, low activity",,,,
b2043,2114501,2115896,-,wcaM,1395,wcaKLM,No COG Annotation,predicted colanic acid biosynthesis protein,,,,
b2044,2115906,2117127,-,wcaL,1221,wcaKLM,Cell wall/membrane/envelope biogenesis,predicted colanic biosynthesis glycosyl transferase,,,,
b2045,2117123,2118404,-,wcaK,1281,wcaKLM,Cell wall/membrane/envelope biogenesis,predicted colanic acid biosynthesis pyruvyl transferase,,,,
b2046,2118679,2120158,-,wzxC,1479,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,Cell wall/membrane/envelope biogenesis,WzxC,,,,nac
b2047,2120159,2121554,-,wcaJ,1395,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,Cell wall/membrane/envelope biogenesis,undecaprenyl-phosphate glucose phosphotransferase,,,,nac
b2048,2121608,2122979,-,cpsG,1371,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,Carbohydrate transport and metabolism,phosphomannomutase,,,,nac
b2049,2123083,2124520,-,cpsB,1437,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,Carbohydrate transport and metabolism,mannose-1-phosphate guanylyltransferase,,,,nac
b2050,2124522,2125746,-,wcaI,1224,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,Cell wall/membrane/envelope biogenesis,predicted colanic biosynthesis glycosyl transferase,,,,nac
b2051,2125742,2126222,-,wcaH,480,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,"Replication, recombination and repair",GDP-mannose mannosyl hydrolase,,,,nac
b2052,2126224,2127190,-,wcaG,966,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,Cell wall/membrane/envelope biogenesis,GDP-fucose synthase,,,,nac
b2053,2127192,2128314,-,gmd,1122,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,Cell wall/membrane/envelope biogenesis,"GDP-mannose 4,6-dehydratase",,,,nac
b2054,2128339,2128888,-,wcaF,549,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,Function unknown,predicted acyl transferase,,,,nac
b2055,2128903,2129650,-,wcaE,747,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,Cell wall/membrane/envelope biogenesis,predicted colanic acid biosynthesis glycosyl transferase,,,,nac
b2056,2129660,2130878,-,wcaD,1218,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,No COG Annotation,predicted colanic acid polymerase,,,,nac
b2057,2130852,2132070,-,wcaC,1218,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,Cell wall/membrane/envelope biogenesis,predicted colanic acid biosynthesis glycosyl transferase,,,,nac
b2058,2132066,2132555,-,wcaB,489,wza-wzb-wzc-wcaAB,Amino acid transport and metabolism,predicted colanic acid biosynthesis acyl transferase,,,,rpoD
b2059,2132557,2133397,-,wcaA,840,wza-wzb-wzc-wcaAB,Cell wall/membrane/envelope biogenesis,predicted colanic acid biosynthesis glycosyl transferase,,,,rpoD
b2060,2133489,2135652,-,wzc,2163,wza-wzb-wzc-wcaAB,"Cell cycle control, cell division, chromosome partitioning",protein-tyrosine kinase,,,,"nac,rpoD,rpoE"
b2061,2135654,2136098,-,wzb,444,wza-wzb-wzc-wcaAB,Signal transduction mechanisms,protein-tyrosine phosphatase,,,,"nac,rpoD,rpoE"
b2062,2136103,2137243,-,wza,1140,wza-wzb-wzc-wcaAB,Cell wall/membrane/envelope biogenesis,lipoprotein required for capsular polysaccharide translocation through the outer membrane,,,,"nac,rpoD,rpoE"
b2063,2137901,2139485,+,yegH,1584,yegH,Inorganic ion transport and metabolism,inner membrane protein YegH,,,,"nac,phoB"
b2064,2139758,2141612,-,asmA,1854,asmA,Cell wall/membrane/envelope biogenesis,predicted assembly protein AsmA,,,,
b2065,2141633,2142215,-,dcd,582,udk-dcd,Nucleotide transport and metabolism,dCTP deaminase,,,,
b2066,2142306,2142948,-,udk,642,udk-dcd,Nucleotide transport and metabolism,uridine kinase/cytidine kinase/uridine kinase/cytidine kinase,,,,
b2067,2143265,2146583,+,yegE,3318,dgcE,Signal transduction mechanisms,predicted diguanylate cyclase,,,,
b2068,2146691,2147540,-,alkA,849,alkA,"Replication, recombination and repair","3-methyl-adenine DNA glycosylase II, inducible",,,,"ada,rpoD,rpoS"
b2069,2147673,2149026,+,yegD,1353,yegD,"Posttranslational modification, protein turnover, chaperones",actin family protein,,,,
b2070,2149038,2150985,-,yegI,1947,yegI,Function unknown,conserved protein,,,,
b2074,2154015,2155263,+,mdtA,1248,mdtABCD-baeSR,Defense mechanisms,MdtABC-TolC multidrug efflux pump - putative membrane fusion protein,,,,"baeR,cpxR,cra,crp,rpoS"
b2075,2155262,2158385,+,mdtB,3123,mdtABCD-baeSR,Inorganic ion transport and metabolism,MdtABC-TolC multidrug efflux pump - membrane subunit,,,,"baeR,cpxR,cra,crp,rpoS"
b2076,2158385,2161463,+,mdtC,3078,mdtABCD-baeSR,Inorganic ion transport and metabolism,MdtABC-TolC multidrug efflux pump - membrane subunit,,,,"baeR,cpxR,cra,crp,rpoS"
b2077,2161463,2162879,+,iceT,1416,mdtABCD-baeSR,Inorganic ion transport and metabolism,"putative transport protein, major facilitator superfamily (MFS)",,,,"baeR,cpxR,cra,crp,rpoS"
b2078,2162875,2164279,+,baeS,1404,mdtABCD-baeSR,Signal transduction mechanisms,BaeS sensory histidine kinase,,,,"baeR,cpxR,cra,crp,rpoS"
b2079,2164275,2164998,+,baeR,723,mdtABCD-baeSR,Signal transduction mechanisms,BaeR transcriptional activator,,,,"baeR,cpxR,cra,crp,rpoS"
b2080,2165188,2165521,+,yegP,333,yegP,Function unknown,putative protein,,,,
b2081,2165667,2167029,+,yegQ,1362,yegQ,"Posttranslational modification, protein turnover, chaperones",predicted peptidase,,,,
b2082,2167301,2167520,-,ogrK,219,ogrK,Transcription,"DNA-binding transcriptional regulator, prophage P2 remnant",,,,
b2085,2167988,2168306,-,yegR,318,yegRZ,Function unknown,putative protein,,,,"evgA,nac,rpoD"
b2086,2168711,2169611,+,yegS,900,yegS,Lipid transport and metabolism,lipid kinase,,,,
b2091,2171832,2172873,-,gatD,1041,gatYZABCD,Amino acid transport and metabolism,L-galactitol-1-phosphate 5-dehydrogenase,,,,"arcA,crp,gatR,nac,rpoD"
b2092_1,2173364,2174278,-,gatC_1,914,gatYZABCD,Carbohydrate transport and metabolism,,,,,rpoD
b2092_2,2172920,2173362,-,gatC_2,442,gatYZABCD,Carbohydrate transport and metabolism,,,,,rpoD
b2093,2174281,2174566,-,gatB,285,gatYZABCD,Carbohydrate transport and metabolism,galactitol PTS permease - GatB subunit,,,,"arcA,crp,gatR,nac,rpoD"
b2094,2174596,2175049,-,gatA,453,gatYZABCD,Carbohydrate transport and metabolism,galactitol PTS permease - GatA subunit,,,,"arcA,crp,gatR,nac,rpoD"
b2095,2175058,2176321,-,gatZ,1263,gatYZABCD,Carbohydrate transport and metabolism,"tagatose-1,6-bisphosphate aldolase 2 subunit GatZ",,,,"arcA,crp,gatR,nac,rpoD"
b2096,2176349,2177204,-,gatY,855,gatYZABCD,Carbohydrate transport and metabolism,"tagatose-1,6-bisphosphate aldolase 2 subunit GatY",,,,"arcA,crp,gatR,rpoD"
b2097,2177511,2178564,-,fbaB,1053,fbaB,Carbohydrate transport and metabolism,fructose bisphosphate aldolase class I,,,,"cra,rpoS,yieP"
b2098,2178820,2180098,+,yegT,1278,yegTUV,Carbohydrate transport and metabolism,"putative transport protein, major facilitator superfamily",,,,
b2099,2180094,2181099,+,yegU,1005,yegTUV,"Posttranslational modification, protein turnover, chaperones",predicted hydrolase,,,,
b2100,2181095,2182061,+,yegV,966,yegTUV,Carbohydrate transport and metabolism,predicted kinase,,,,
b2101,2182034,2182781,-,yegW,747,yegW,Transcription,predicted DNA-binding transcriptional regulator,,,,
b2102,2182832,2183651,-,yegX,819,yegX,Cell wall/membrane/envelope biogenesis,predicted hydrolase,,,,
b2103,2183715,2184516,-,thiD,801,thiMD,Coenzyme transport and metabolism,hydroxymethylpyrimidine kinase / phosphohydroxymethylpyrimidine kinase,,,,"TPP,yeiE"
b2104,2184512,2185301,-,thiM,789,thiMD,Coenzyme transport and metabolism,hydroxyethylthiazole kinase,,,,TPP
b2105,2185523,2185796,-,rcnR,273,rcnR,Function unknown,RcnR DNA-binding transcriptional repressor,,,,"rcnR,rpoD"
b2106,2185916,2186741,+,rcnA,825,rcnAB,Inorganic ion transport and metabolism,Ni<sup>2+</sup>/Co<sup>2+</sup> exporter,,,,"fur,rcnR,rpoD"
b2107,2186959,2187298,+,rcnB,339,rcnAB,Function unknown,periplasmic protein involved in nickel/cobalt export,,,,"fur,rcnR,rpoD"
b2109,2188429,2190910,-,yehB,2481,yehDCBA,Cell wall/membrane/envelope biogenesis,putative outer membrane usher protein,,,,
b2110,2190925,2191645,-,yehC,720,yehDCBA,Cell motility,putative fimbrial chaperone,,,,
b2111,2191679,2192222,-,yehD,543,yehDCBA,Function unknown,predicted fimbrial-like adhesin protein,,,,
b2112,2192514,2192796,-,yehE,282,yehE,Function unknown,putative protein,,,,
b2113,2193058,2194168,-,mrp,1110,mrp,"Cell cycle control, cell division, chromosome partitioning",P-loop NTPase family protein,,,,rpoD
b2114,2194299,2196333,+,metG,2034,metG,"Translation, ribosomal structure and biogenesis",methionine-tRNA ligase,,,,rpoD
b2118,2200278,2203911,+,yehI,3633,molR_2R_3-yehI,Function unknown,conserved protein,,,,
b2119,2204595,2205684,+,yehL,1089,yehLMPQ,Function unknown,chaperone-like ATPase,,,,lrp
b2120,2205694,2207974,+,yehM,2280,yehLMPQ,Function unknown,putative protein,,,,lrp
b2121,2207966,2209103,+,yehP,1137,yehLMPQ,Function unknown,conserved protein,,,,lrp
b2122,2209099,2211100,+,yehQ,2001,yehLMPQ,No COG Annotation,putative protein,,,,"lrp,ybiH"
b2124,2211725,2212196,-,yehS,471,yehS,Function unknown,conserved protein,,,,
b2125,2212242,2212962,-,yehT,720,btsSR,Signal transduction mechanisms,YehT DNA-binding transcriptional activator,,,,
b2126,2212958,2214644,-,yehU,1686,btsSR,Signal transduction mechanisms,YehU sensory histidine kinase,,,,
b2127,2214865,2215597,+,mlrA,732,mlrA,Transcription,MlrA DNA-binding transcriptional activator,,,,"crp,fliZ,rpoD,rpoS"
b2128,2215744,2216476,-,yehW,732,osmF-yehYXW,Amino acid transport and metabolism,glycine betaine ABC transporter - putative membrane subunit,,,,"rpoH,rpoS"
b2129,2216480,2217407,-,yehX,927,osmF-yehYXW,Amino acid transport and metabolism,glycine betaine ABC transporter - putative ATP binding subunit,,,,"rpoH,rpoS"
b2130,2217399,2218557,-,yehY,1158,osmF-yehYXW,Amino acid transport and metabolism,glycine betaine ABC transporter - putative membrane subunit,,,,"rpoH,rpoS"
b2131,2218563,2219481,-,osmF,918,osmF-yehYXW,Amino acid transport and metabolism,glycine betaine ABC transporter - periplasmic binding protein,,,,"rpoH,rpoS"
b2132,2219691,2221989,-,bglX,2298,bglX,Carbohydrate transport and metabolism,"&beta;-D-glucoside glucohydrolase, periplasmic",,,,"nac,rpoD"
b2133,2222184,2223900,+,dld,1716,dld,Energy production and conversion,D-lactate dehydrogenase,,,,nac
b2134,2223937,2224870,-,pbpG,933,pbpG,Cell wall/membrane/envelope biogenesis,penicillin-binding protein 7,,,,ybaQ
b2135,2225043,2225631,-,yohC,588,yohC,Function unknown,predicted inner membrane protein,,,,
b2136,2225800,2226379,+,yohD,579,yohD,Function unknown,conserved inner membrane protein,,,,
b2137,2226508,2227270,-,yohF,762,yohF,Function unknown,predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain,,,,
b2139_2,2227322,2228609,-,mdtQ_2,1287,yohH,No COG Annotation,,,,,
b2140,2229437,2230385,-,dusC,948,dusC,"Translation, ribosomal structure and biogenesis",tRNA-dihydrouridine synthase C,,,,yieP
b2141,2230623,2231022,+,yohJ,399,yohJK,Function unknown,conserved inner membrane protein,,,,yieP
b2142,2231018,2231714,+,yohK,696,yohJK,Cell wall/membrane/envelope biogenesis,inner membrane protein YohK,,,,
b2143,2231843,2232728,+,cdd,885,cdd,Nucleotide transport and metabolism,cytidine deaminase,,,,"crp,cytR,nsrR,rpoD"
b2144,2232877,2233597,+,sanA,720,sanA-yeiS,Function unknown,vancomycin sensitivity,,,,
b2145,2233599,2233839,+,yeiS,240,sanA-yeiS,Function unknown,predicted inner membrane protein,,,,
b2146,2234032,2235271,+,preT,1239,preTA,Amino acid transport and metabolism,NADH-dependent dihydropyrimidine dehydrogenase subunit,,,,"crp,rpoD"
b2147,2235264,2236500,+,preA,1236,preTA,Nucleotide transport and metabolism,NADH-dependent dihydropyrimidine dehydrogenase subunit,,,,"crp,rpoD"
b2148,2236742,2237753,-,mglC,1011,mglBAC,Carbohydrate transport and metabolism,D-galactose / D-galactoside ABC transporter - membrane subunit,,,,"arcA,crp,fis,galR,galS,nac,rpoD,rpoS"
b2149,2237768,2239289,-,mglA,1521,mglBAC,Inorganic ion transport and metabolism,D-galactose / D-galactoside ABC transporter - ATP binding subunit,,,,"arcA,crp,fis,galR,galS,nac,rpoD,rpoS"
b2150,2239349,2240348,-,mglB,999,mglBAC,Carbohydrate transport and metabolism,D-galactose / D-galactoside ABC transporter - periplasmic binding protein,,,,"arcA,crp,galR,galS,nac,rpoD,rpoS"
b2151,2240627,2241668,-,galS,1041,galS,Transcription,GalS DNA-binding transcriptional dual regulator,,,,"argR,crp,galR,galS,rpoD"
b2152,2241809,2242967,-,yeiB,1158,folE-yeiB,Function unknown,conserved inner membrane protein,,,,"arcA,metJ,rpoD,yieP"
b2153,2242983,2243652,-,folE,669,folE-yeiB,Coenzyme transport and metabolism,GTP cyclohydrolase I,,,,"arcA,metJ,rpoD"
b2154,2243909,2244746,+,yeiG,837,yeiG,Function unknown,<i>S</i>-formylglutathione hydrolase / <i>S</i>-lactoylglutathione hydrolase,,,,"arcA,yeiE"
b2155,2244777,2246769,-,cirA,1992,cirA,Inorganic ion transport and metabolism,outer membrane receptor involved in uptake of ferric dihyroxybenzoylserine,,,,"arcA,crp,fur,rpoD"
b2156,2247062,2248532,-,lysP,1470,lysP,Amino acid transport and metabolism,lysine:H<sup>+</sup> symporter,,,,"argP,lrp,nac,rpoD"
b2157,2248736,2249618,-,yeiE,882,yeiE,Transcription,LYSR-type transcriptional regulator,,,,yeiE
b2158,2249716,2250766,+,yeiH,1050,yeiH,Function unknown,conserved inner membrane protein,,,,yeiE
b2159,2250839,2251697,+,nfo,858,nfo,"Replication, recombination and repair",endonuclease IV,,,,"marA,rob,rpoD,soxS"
b2160,2251699,2252788,+,yeiI,1089,yeiI,Carbohydrate transport and metabolism,predicted kinase,,,,
b2161,2252894,2254145,-,nupX,1251,nupX,Nucleotide transport and metabolism,"putative transport protein, concentrative nucleoside transporter (CNT) family",,,,
b2162,2254244,2255186,-,rihB,942,rihB,Nucleotide transport and metabolism,ribonucleoside hydrolase 2 (pyrimidine-specific),,,,rpoD
b2163,2255354,2256014,+,yeiL,660,yeiL,Signal transduction mechanisms,YeiL DNA-binding transcriptional activator,,,,"fnr,ihf,lrp,rpoS,yeiL"
b2164,2256084,2257335,-,psuT,1251,psuT,Nucleotide transport and metabolism,predicted pseudouridine transporter - PsuT,,,,
b2165,2257428,2258367,-,psuG,939,psuKG,"Secondary metabolites biosynthesis, transport and catabolism",predicted pseudouridine 5'-phosphate glycosidase,,,,
b2166,2258354,2259296,-,psuK,942,psuKG,Carbohydrate transport and metabolism,predicted pseudouridine kinase,,,,
b2167,2259718,2261410,-,fruA,1692,fruBKA,Carbohydrate transport and metabolism,fructose PTS permease - FruA subunit,,,,"cra,rpoD"
b2168,2261426,2262365,-,fruK,939,fruBKA,Carbohydrate transport and metabolism,1-phosphofructokinase,,,,"cra,rpoD"
b2169,2262364,2263495,-,fruB,1131,fruBKA,Carbohydrate transport and metabolism,fructose PTS permease - FruB subunit,,,,"cra,rpoD"
b2170,2263862,2265044,+,setB,1182,setB,Carbohydrate transport and metabolism,sugar / lactose exporter SetB,,,,crp
b2171,2265449,2266022,+,yeiP,573,yeiP,"Translation, ribosomal structure and biogenesis","predicted dehydrogenase, NAD-dependent",,,,crp
b2172,2266244,2267711,+,yeiQ,1467,yeiQ,Carbohydrate transport and metabolism,"predicted dehydrogenase, NAD-dependent",,,,"arcA,crp,fnr"
b2173,2267828,2268815,+,yeiR,987,yeiR-lpxT,Function unknown,zinc-binding GTPase,,,,
b2174,2268853,2269567,+,lpxT,714,yeiR-lpxT,Lipid transport and metabolism,Kdo<sub>2</sub>-lipid A phosphotransferase,,,,
b2175,2269978,2270545,+,mepS,567,mepS,Cell wall/membrane/envelope biogenesis,murein DD-endopeptidase/murein LD-carboxypeptidase,,,,"lrp,nac"
b2176,2270725,2272282,+,rtn,1557,pdeN,Signal transduction mechanisms,predicted c-di-GMP phosphodiesterase,,,,crp
b2177,2272363,2274178,+,yejA,1815,yejABEF,Amino acid transport and metabolism,peptide ABC transporter - periplasmic binding protein,,,,
b2178,2274178,2275273,+,yejB,1095,yejABEF,Inorganic ion transport and metabolism,peptide ABC transporter - membrane subunit,,,,
b2179,2275272,2276298,+,yejE,1026,yejABEF,Inorganic ion transport and metabolism,peptide ABC transporter - membrane subunit,,,,
b2180,2276299,2277889,+,yejF,1590,yejABEF,Function unknown,peptide ABC transporter - ATP binding subunit,,,,
b2181,2277892,2278237,-,yejG,345,yejG,Function unknown,putative protein,,,,"arcA,nac"
b2182,2278569,2279760,-,bcr,1191,bcr,Inorganic ion transport and metabolism,multidrug efflux pump Bcr,,,,
b2183,2279787,2280483,-,rsuA,696,rsuA,"Translation, ribosomal structure and biogenesis",16S rRNA pseudouridine<sup>516</sup> synthase,,,,
b2184,2280631,2282392,+,yejH,1761,radD,"Replication, recombination and repair",predicted ATP-dependent helicase, implicated in DNA repair,,,rpoN
b2185,2282516,2282801,+,rplY,285,rplY,"Translation, ribosomal structure and biogenesis",50S ribosomal subunit protein L25,,,,"arcA,rpoD"
b2186,2282939,2283947,-,yejK,1008,yejK,Function unknown,nucleoid-associated protein,,,,
b2187,2284128,2284356,+,yejL,228,yejLM,Function unknown,conserved protein,,,,
b2188,2284375,2286136,+,yejM,1761,yejLM,Function unknown,cardiolipin transport protein,,,,
b2190_2,2286389,2288914,-,yejO_2,2525,yejO,No COG Annotation,,,,,
b2192,2289064,2290081,-,insH1,1017,insH-8,"Replication, recombination and repair",IS5 transposase and trans-activator,,,,
b2193,2290499,2291147,+,narP,648,narP,Signal transduction mechanisms,NarP transcriptional dual regulator,,,,rpoH
b2194,2291357,2292410,-,ccmH,1053,napFDAGHBC-ccmABCDEFGH,"Posttranslational modification, protein turnover, chaperones",holocytochrome <I>c</I> synthetase - thiol:disulfide oxidoreductase CcmH,,,,"fnr,modE,nac,narL,narP,rpoD"
b2195,2292406,2292964,-,dsbE,558,napFDAGHBC-ccmABCDEFGH,"Posttranslational modification, protein turnover, chaperones",holocytochrome <I>c</I> synthetase - thiol:disulfide oxidoreductase CcmG,,,,"fnr,modE,nac,narL,narP,rpoD"
b2196,2292960,2294904,-,ccmF,1944,napFDAGHBC-ccmABCDEFGH,"Posttranslational modification, protein turnover, chaperones",holocytochrome <I>c</I> synthetase - CcmF subunit,,,,"fnr,modE,nac,narL,narP,rpoD"
b2197,2294900,2295380,-,ccmE,480,napFDAGHBC-ccmABCDEFGH,"Posttranslational modification, protein turnover, chaperones",membrane anchored periplasmic heme chaperone CcmE,,,,"fnr,modE,nac,narL,narP,rpoD"
b2199,2295582,2296320,-,ccmC,738,napFDAGHBC-ccmABCDEFGH,"Posttranslational modification, protein turnover, chaperones",ABC complex for formation and release of holoCcmE - membrane subunit CcmC,,,,"fnr,modE,nac,narL,narP,rpoD"
b2200,2296361,2297024,-,ccmB,663,napFDAGHBC-ccmABCDEFGH,"Posttranslational modification, protein turnover, chaperones",ABC complex for formation and release of holoCcmE - membrane subunit CcmB,,,,"fnr,modE,nac,narL,narP,rpoD"
b2201,2297020,2297644,-,ccmA,624,napFDAGHBC-ccmABCDEFGH,"Posttranslational modification, protein turnover, chaperones",ABC complex for formation and release of holoCcmE - ATP binding subunit,,,,"fnr,modE,nac,narL,narP,rpoD"
b2202,2297656,2298259,-,napC,603,napFDAGHBC-ccmABCDEFGH,Energy production and conversion,"periplasmic nitrate reductase, cytochrome c protein",,,,"fnr,iscR,lrp,modE,nac,narL,narP,rpoD"
b2203,2298268,2298718,-,napB,450,napFDAGHBC-ccmABCDEFGH,Energy production and conversion,"subunit of periplasmic nitrate reductase, cytochrome c<SUB>550</SUB> protein",,,,"fnr,iscR,lrp,modE,nac,narL,narP,rpoD"
