,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator,operon,length
b2083,yegZ,,2167602,2167820,-,phage protein D,Function unknown,,"RpoD,EvgA",,
b2085,yegR,,2167989,2168306,-,uncharacterized protein YegR,No COG annotation,P76406,"RpoD,ppGpp,EvgA,Nac",yegRZ,318.0
b2086,yegS,,2168712,2169611,+,lipid kinase,Nucleotide transport and metabolism,P76407,ppGpp,yegS,900.0
b4498,gatR,,2169693,2170167,-,DNA-binding transcriptional repressor GatR%2C N-terminal fragment,No COG annotation,,,,
b2088,insE-5,,2170236,2170535,+,IS3 element protein InsE,"Replication, recombination and repair",P0CF66,,,
b2089,insF-5,,2170532,2171398,+,IS3 element protein InsF,"Replication, recombination and repair",P0CF79,,,
b2091,gatD,,2171833,2172873,-,galactitol-1-phosphate 5-dehydrogenase,Amino acid transport and metabolism,P0A9S3,"RpoD,GatR,ArcA,Crp",gatYZABCD,1041.0
b2092,gatC,,2172921,2174278,-,galactitol-specific PTS enzyme IIC component,Carbohydrate transport and metabolism,,"RpoD,GatR,ArcA,Crp",,
b2093,gatB,,2174282,2174566,-,galactitol-specific PTS enzyme IIB component,Carbohydrate transport and metabolism,P37188,"RpoD,GatR,ArcA,Crp",gatYZABCD,285.0
b2094,gatA,,2174597,2175049,-,galactitol-specific PTS enzyme IIA component,Carbohydrate transport and metabolism,P69828,"RpoD,GatR,ArcA,Crp,Nac",gatYZABCD,453.0
b2095,gatZ,,2175059,2176321,-,tagatose-1%2C6-bisphosphate aldolase 2 subunit GatZ,Carbohydrate transport and metabolism,P0C8J8,"RpoD,gcvB,GatR,ArcA,Crp",gatYZABCD,1263.0
b2096,gatY,,2176350,2177204,-,tagatose-1%2C6-bisphosphate aldolase 2 subunit GatY,Nucleotide transport and metabolism,P0C8J6,"RpoD,GatR,ArcA,Crp",gatYZABCD,855.0
b2097,fbaB,,2177512,2178564,-,fructose-bisphosphate aldolase class I,Nucleotide transport and metabolism,P0A991,"YfeD,RpoS,Cra,ppGpp",fbaB,1053.0
b2098,yegT,,2178821,2180098,+,putative transporter YegT,Inorganic ion transport and metabolism,P76417,,yegTUV,1278.0
b2099,yegU,,2180095,2181099,+,putative ADP-ribosylglycohydrolase YegU,"Post-translational modification, protein turnover,and chaperones",P76418,YdcN,yegTUV,1005.0
b2100,yegV,,2181096,2182061,+,putative sugar kinase YegV,Carbohydrate transport and metabolism,P76419,,yegTUV,966.0
b2101,yegW,,2182035,2182781,-,putative DNA-binding transcriptional regulator YegW,Transcription,P0ACM5,,yegW,747.0
b2102,yegX,,2182833,2183651,-,putative hydrolase,Cell wall/membrane/envelope biogenesis,P76421,,yegX,819.0
b2103,thiD,,2183716,2184516,-,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,Coenzyme transport and metabolism,P76422,"YeiE,Thiamine diphosphate",thiMD,801.0
b2104,thiM,,2184513,2185301,-,hydroxyethylthiazole kinase,Nucleotide transport and metabolism,P76423,Thiamine diphosphate,thiMD,789.0
b2105,rcnR,,2185524,2185796,-,DNA-binding transcriptional repressor RcnR,Transcription,P64530,"RpoD,RcnR",rcnR,273.0
b2106,rcnA,,2185917,2186741,+,Ni(2(+))/Co(2(+)) exporter,"Intracellular trafficking, secretion, and vesicular transport",P76425,"RpoD,Fur,RcnR",rcnAB,825.0
b2107,rcnB,,2186960,2187298,+,periplasmic protein involved in nickel/cobalt export,Function unknown,P64534,"RpoD,omrA,omrB,Fur,RcnR",rcnAB,339.0
b2108,yehA,,2187380,2188414,-,putative fimbrial adhesin YehA,Cell motility,P33340,,,
b2109,yehB,,2188430,2190910,-,putative fimbrial usher protein YehB,Cell motility,P33341,"YdcN,YidZ",yehDCBA,2481.0
b2110,yehC,,2190926,2191645,-,putative fimbrial chaperone YehC,Cell motility,P33342,,yehDCBA,720.0
b2111,yehD,,2191680,2192222,-,putative fimbrial protein YehD,Cell motility,P33343,GlaR,yehDCBA,543.0
b2112,yehE,,2192515,2192796,-,DUF2574 domain-containing protein YehE,Function unknown,P33344,"Nac,GlaR,ppGpp",yehE,282.0
b2113,mrp,,2193059,2194168,-,P-loop NTPase family protein,"Cell cycle control, cell division, chromosome partitioning",P0AF08,"RpoD,ryhB",mrp,1110.0
b2114,metG,,2194300,2196333,+,methionine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P00959,"RpoD,YcjW",metG,2034.0
b2115,yehF,,2196474,2197298,+,putative protein YehF,Function unknown,UPI000016810C,"RpoD,RcsB-BglJ,LexA",,
b2118,yehI,,2200279,2203911,+,DUF4132 domain-containing protein YehI,Function unknown,P33346,,molR_2R_3-yehI,3633.0
b2119,yehL,,2204596,2205684,+,putative AAA(+) MoxR family ATPase YehL,Function unknown,P33348,"ppGpp,Lrp",yehLMPQ,1089.0
b2120,yehM,,2205695,2207974,+,putative YehN,Function unknown,P33349,,yehLMPQ,2280.0
b2121,yehP,,2207967,2209103,+,VWA domain-containing protein YehP,Function unknown,P33352,,yehLMPQ,1137.0
b2122,yehQ,,2209100,2210944,+,SWIM zinc finger domains-containing protein YehQ,Function unknown,UPI000013AC4F,YbiH,yehLMPQ,2001.0
b2123,yehR,,2211225,2211686,+,DUF1307 domain-containing lipoprotein YehR,Function unknown,P33354,RpoH,,
b2124,yehS,,2211726,2212196,-,conserved protein YehS,Function unknown,P33355,"ppGpp,GlaR",yehS,471.0
b2125,btsR,,2212243,2212962,-,DNA-binding transcriptional activator BtsR,Transcription,P0AFT5,,btsSR,720.0
b2126,btsS,,2212959,2214644,-,high-affinity pyruvate receptor,Signal transduction mechanisms,P0AD14,ppGpp,btsSR,1686.0
b2127,mlrA,,2214866,2215597,+,DNA-binding transcriptional activator MlrA,Transcription,P33358,"RpoD,RpoS,FliZ",mlrA,732.0
b4542,yohO,,2215657,2215764,+,UPF0387 family protein YohO,No COG annotation,Q2EES6,Nac,,
b2128,yehW,,2215745,2216476,-,glycine betaine ABC transporter membrane subunit YehW,Inorganic ion transport and metabolism,P33359,"RpoH,RpoS,ppGpp",osmF-yehYXW,732.0
b2129,yehX,,2216481,2217407,-,glycine betaine ABC transporter ATP binding subunit YehX,Inorganic ion transport and metabolism,P33360,"YidZ,RpoH,RpoS,ppGpp",osmF-yehYXW,927.0
b2130,yehY,,2217400,2218557,-,glycine betaine ABC transporter membrane subunit YehY,Inorganic ion transport and metabolism,P33361,"RpoH,RpoS,ppGpp",osmF-yehYXW,1158.0
b2131,osmF,,2218564,2219481,-,glycine betaine ABC transporter periplasmic binding protein OsmF,Cell wall/membrane/envelope biogenesis,P33362,"RpoH,RpoS,ppGpp",osmF-yehYXW,918.0
b2132,bglX,,2219692,2221989,-,beta-D-glucoside glucohydrolase%2C periplasmic,Carbohydrate transport and metabolism,P33363,"RpoD,Nac",bglX,2298.0
b2133,dld,,2222185,2223900,+,D-lactate dehydrogenase,Energy production and conversion,P06149,"omrA,omrB,Nac",dld,1716.0
b2134,pbpG,,2223938,2224870,-,peptidoglycan DD-endopeptidase PbpG,Cell wall/membrane/envelope biogenesis,P0AFI5,"YbaQ,YfeD",pbpG,933.0
b2135,yohC,,2225044,2225631,-,putative inner membrane protein,Function unknown,P0AD17,ppGpp,yohC,588.0
b2136,yohD,,2225801,2226379,+,DedA family protein YohD,Function unknown,P33366,,yohD,579.0
b2137,yohF,,2226509,2227270,-,putative oxidoreductase with NAD(P)-binding Rossmann-fold domain,Lipid transport and metabolism,P33368,,yohF,762.0
b2139,mdtQ,,2227323,2228758,-,putative multidrug resistance outer membrane protein MdtQ,No COG annotation,,,,
b2140,dusC,,2229438,2230385,-,tRNA-dihydrouridine(16) synthase,"Translation, ribosomal structure and biogenesis",P33371,ppGpp,dusC,948.0
b2141,yohJ,,2230624,2231022,+,PF03788 family membrane protein YohJ,Function unknown,P60632,YieP,yohJK,399.0
b2142,yohK,,2231019,2231714,+,PF04712 family membrane protein YohK,Cell wall/membrane/envelope biogenesis,P0AD19,YieP,yohJK,696.0
b2143,cdd,,2231844,2232728,+,cytidine/deoxycytidine deaminase,Nucleotide transport and metabolism,P0ABF6,"RpoD,NsrR,Crp,CytR",cdd,885.0
b2144,sanA,,2232878,2233597,+,DUF218 domain-containing protein SanA,Function unknown,P0AFY2,,sanA-yeiS,720.0
b2145,yeiS,,2233600,2233839,+,DUF2542 domain-containing protein YeiS,Function unknown,P64536,ppGpp,sanA-yeiS,240.0
b2146,preT,,2234033,2235271,+,NAD-dependent dihydropyrimidine dehydrogenase subunit PreT,Energy production and conversion,P76440,"RpoD,Crp",preTA,1239.0
b2147,preA,,2235265,2236500,+,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA,Energy production and conversion,P25889,"RpoD,Crp",preTA,1236.0
b2148,mglC,,2236743,2237753,-,D-galactose/methyl-galactoside ABC transporter membrane subunit,Carbohydrate transport and metabolism,P23200,"RpoD,RpoS,FlhDC,Fis,GalR,GalS,Crp,ppGpp",mglBAC,1011.0
b2149,mglA,,2237769,2239289,-,D-galactose/methyl-galactoside ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P0AAG8,"RpoD,RpoS,FlhDC,Fis,GalR,GalS,Crp,ppGpp,Nac,GlaR",mglBAC,1521.0
b2150,mglB,,2239350,2240348,-,D-galactose/methyl-galactoside ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,P0AEE5,"RpoD,RpoS,FlhDC,GalR,GalS,Crp,Nac",mglBAC,999.0
b2151,galS,,2240628,2241668,-,DNA-binding transcriptional dual regulator GalS,Transcription,P25748,"RpoD,Crp,GalR,GalS",galS,1041.0
b2152,yeiB,,2241810,2242967,-,DUF418 domain-containing protein YeiB,Function unknown,P25747,"RpoD,MetJ,fnrS,sgrS",folE-yeiB,1158.0
b2153,folE,,2242984,2243652,-,GTP cyclohydrolase 1,Nucleotide transport and metabolism,P0A6T5,"RpoD,MetJ,ArcA,fnrS,sgrS",folE-yeiB,669.0
b2154,yeiG,,2243910,2244746,+,S-formylglutathione hydrolase/S-lactoylglutathione hydrolase,Function unknown,P33018,"YeiE,ppGpp",yeiG,837.0
b2155,cirA,,2244778,2246769,-,ferric dihyroxybenzoylserine outer membrane transporter,Inorganic ion transport and metabolism,P17315,"RpoD,omrB,omrA,Crp,Fur,Hfq,ryhB",cirA,1992.0
b2156,lysP,,2247063,2248532,-,lysine:H(+) symporter,Amino acid transport and metabolism,P25737,"RpoD,ppGpp,ArgP,Lrp,Nac",lysP,1470.0
b2157,yeiE,,2248737,2249618,-,putative LysR-type transcriptional regulator YeiE,Transcription,P0ACR4,"YeiE,Nac",yeiE,882.0
b2158,yeiH,,2249717,2250766,+,conserved inner membrane protein YeiH,Function unknown,P62723,"YeiE,Nac",yeiH,1050.0
b2159,nfo,,2250840,2251697,+,endonuclease IV,"Replication, recombination and repair",P0A6C1,"RpoD,Rob,SoxS,MarA",nfo,858.0
b2160,yeiI,,2251700,2252788,+,putative sugar kinase YeiI,Carbohydrate transport and metabolism,P33020,,yeiI,1089.0
b2161,nupX,,2252895,2254145,-,putative nucleoside transporter,Nucleotide transport and metabolism,P33021,,nupX,1251.0
b2162,rihB,,2254245,2255186,-,pyrimidine-specific ribonucleoside hydrolase RihB,Nucleotide transport and metabolism,P33022,RpoD,rihB,942.0
b2163,yeiL,,2255355,2256014,+,putative DNA-binding transcriptional regulator YeiL,Transcription,P0A9E9,"RpoS,YeiL,IHF,Lrp,Fnr,ppGpp",yeiL,660.0
b2164,psuT,,2256085,2257335,-,putative pseudouridine transporter,Nucleotide transport and metabolism,P33024,,psuT,1251.0
b2165,psuG,,2257429,2258367,-,pseudouridine-5'-phosphate glycosidase,"Secondary metabolites biosynthesis, transport, and catabolism",P33025,Crp,psuKG,939.0
b2166,psuK,,2258355,2259296,-,putative pseudouridine kinase,Carbohydrate transport and metabolism,P30235,Crp,psuKG,942.0
b2167,fruA,,2259719,2261410,-,fructose-specific PTS multiphosphoryl transfer protein FruA,Carbohydrate transport and metabolism,P20966,"RpoD,Cra",fruBKA,1692.0
b2168,fruK,,2261427,2262365,-,1-phosphofructokinase,Nucleotide transport and metabolism,P0AEW9,"RpoD,Cra",fruBKA,939.0
b2169,fruB,,2262365,2263495,-,fructose-specific PTS multiphosphoryl transfer protein FruB,Carbohydrate transport and metabolism,P69811,"RpoD,Cra",fruBKA,1131.0
b2170,setB,,2263863,2265044,+,sugar exporter SetB,Amino acid transport and metabolism,P33026,YdcN,setB,1182.0
b4502,yeiW,,2265041,2265295,-,PF03692 putative metal-chelating domain-containing protein YeiW,Function unknown,P0AFT8,Crp,,
b2171,yeiP,,2265450,2266022,+,elongation factor P family protein,"Translation, ribosomal structure and biogenesis",P0A6N8,Crp,yeiP,573.0
b2172,yeiQ,,2266245,2267711,+,putative dehydrogenase%2C NAD-dependent,Carbohydrate transport and metabolism,P33029,"YfeC,YqhC,ArcA",yeiQ,1467.0
b2173,yeiR,,2267829,2268815,+,zinc-binding GTPase YeiR,Function unknown,P33030,,yeiR-lpxT,987.0
b2174,lpxT,,2268854,2269567,+,Kdo2-lipid A phosphotransferase,Lipid transport and metabolism,P76445,"RpoD,ppGpp,micA",yeiR-lpxT,714.0
b2175,mepS,,2269979,2270545,+,peptidoglycan DD-endopeptidase/peptidoglycan LD-carboxypeptidase,Cell wall/membrane/envelope biogenesis,P0AFV4,"YebK,YedW,ppGpp",mepS,567.0
b2176,pdeN,,2270726,2272282,+,putative c-di-GMP phosphodiesterase PdeN,Signal transduction mechanisms,P76446,YfeC,pdeN,1557.0
b2177,yejA,,2272364,2274178,+,putative oligopeptide ABC transporter periplasmic binding protein,Amino acid transport and metabolism,P33913,rydC,yejABEF,1815.0
b2178,yejB,,2274179,2275273,+,putative oligopeptide ABC transporter membrane subunit YejB,Inorganic ion transport and metabolism,P0AFU0,"rydC,Nac",yejABEF,1095.0
b2179,yejE,,2275273,2276298,+,putative oligopeptide ABC transporter membrane subunit YejE,Inorganic ion transport and metabolism,P33915,rydC,yejABEF,1026.0
b2180,yejF,,2276300,2277889,+,putative oligopeptide ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P33916,rydC,yejABEF,1590.0
b2181,yejG,,2277893,2278237,-,protein YejG,Function unknown,P0AD21,"Nac,ArcA",yejG,345.0
b2182,bcr,,2278570,2279760,-,multidrug efflux pump Bcr,Amino acid transport and metabolism,P28246,,bcr,1191.0
b2183,rsuA,,2279788,2280483,-,16S rRNA pseudouridine(516) synthase,"Translation, ribosomal structure and biogenesis",P0AA43,,rsuA,696.0
b2184,radD,,2280632,2282392,+,putative DNA repair helicase RadD,"Replication, recombination and repair",P33919,"RpoN,Lrp",radD,1761.0
b2185,rplY,,2282517,2282801,+,50S ribosomal subunit protein L25,"Translation, ribosomal structure and biogenesis",P68919,"RpoD,ppGpp,RplY,DksA",rplY,285.0
b2186,yejK,,2282940,2283947,-,nucleoid-associated protein YejK,Function unknown,P33920,ppGpp,yejK,1008.0
b2187,yejL,,2284129,2284356,+,DUF1414 domain-containing protein YejL,Function unknown,P0AD24,ppGpp,yejLM,228.0
b2188,yejM,,2284376,2286136,+,putative cardiolipin transport protein,Function unknown,P0AD27,"ppGpp,Nac",yejLM,1761.0
b2190,yejO,,2286390,2288914,-,adhesin-like autotransporter YejO,No COG annotation,,,,
b2192,insH-8,,2289065,2290081,-,IS5 transposase and trans-activator,"Replication, recombination and repair",A0A385XJE6,,insH-8,1017.0
b2193,narP,,2290500,2291147,+,DNA-binding transcriptional dual regulator NarP,Transcription,P31802,"YcjW,RpoH,SdsN",narP,648.0
b2194,ccmH,,2291358,2292410,-,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmH,Inorganic ion transport and metabolism,P0ABM9,"RpoD,FlhDC,ModE,NarP,NarL,Fnr,Nac",napFDAGHBC-ccmABCDEFGH,1053.0
b2195,ccmG,,2292407,2292964,-,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmG,"Post-translational modification, protein turnover,and chaperones",P0AA86,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",napFDAGHBC-ccmABCDEFGH,558.0
b2196,ccmF,,2292961,2294904,-,holocytochrome c synthetase membrane subunit CcmF,"Post-translational modification, protein turnover,and chaperones",P33927,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",napFDAGHBC-ccmABCDEFGH,1944.0
b2197,ccmE,,2294901,2295380,-,periplasmic heme chaperone,"Post-translational modification, protein turnover,and chaperones",P69490,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",napFDAGHBC-ccmABCDEFGH,480.0
b2198,ccmD,,2295377,2295586,-,heme trafficking system membrane protein CcmD,"Intracellular trafficking, secretion, and vesicular transport",P0ABM5,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",,
b2199,ccmC,,2295583,2296320,-,heme trafficking system membrane protein CcmC,"Intracellular trafficking, secretion, and vesicular transport",P0ABM1,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",napFDAGHBC-ccmABCDEFGH,738.0
b2200,ccmB,,2296362,2297024,-,heme trafficking system membrane protein CcmB,"Post-translational modification, protein turnover,and chaperones",P0ABL8,"RpoD,FlhDC,ppGpp,ModE,NarP,NarL,Fnr,Nac",napFDAGHBC-ccmABCDEFGH,663.0
b2201,ccmA,,2297021,2297644,-,heme trafficking system ATP-binding protein,"Post-translational modification, protein turnover,and chaperones",P33931,"RpoD,FlhDC,ModE,NarP,NarL,Fnr,Nac",napFDAGHBC-ccmABCDEFGH,624.0
b2202,napC,,2297657,2298259,-,periplasmic nitrate reductase cytochrome c protein,Energy production and conversion,P0ABL5,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Nac",napFDAGHBC-ccmABCDEFGH,603.0
b2203,napB,,2298269,2298718,-,periplasmic nitrate reductase cytochrome c550 protein,Energy production and conversion,P0ABL3,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Nac",napFDAGHBC-ccmABCDEFGH,450.0
b2204,napH,,2298715,2299578,-,ferredoxin-type protein NapH,Energy production and conversion,P33934,"RpoD,FlhDC,ModE,IscR,NarL,NarP,Fnr",napFDAGHBC-ccmABCDEFGH,864.0
b2205,napG,,2299565,2300260,-,ferredoxin-type protein NapG,Energy production and conversion,P0AAL3,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",napFDAGHBC-ccmABCDEFGH,696.0
b2206,napA,,2300267,2302753,-,periplasmic nitrate reductase subunit NapA,Energy production and conversion,P33937,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",napFDAGHBC-ccmABCDEFGH,2487.0
b2207,napD,,2302750,2303013,-,NapA signal peptide-binding chaperone NapD,Inorganic ion transport and metabolism,P0A9I5,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",napFDAGHBC-ccmABCDEFGH,264.0
b2208,napF,,2303003,2303497,-,ferredoxin-type protein,Energy production and conversion,P0AAL0,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Lrp",napFDAGHBC-ccmABCDEFGH,495.0
b4604,yojO,,2303606,2303770,+,uncharacterized protein YojO,No COG annotation,UPI0001505B8C,,,
b2209,eco,,2303905,2304393,+,serine protease inhibitor ecotin,Cell wall/membrane/envelope biogenesis,P23827,Lrp,eco,489.0
b2210,mqo,,2305108,2306754,-,malate:quinone oxidoreductase,Energy production and conversion,P33940,"Lrp,ArcA",mqo,1647.0
b2211,yojI,,2306972,2308615,-,ABC transporter family protein/microcin J25 efflux protein,Inorganic ion transport and metabolism,P33941,"RpoD,YdcI,Lrp,ppGpp",yojI,1644.0
b2212,alkB,,2308691,2309341,-,DNA oxidative demethylase,"Replication, recombination and repair",P05050,"RpoD,RpoS,Ada",ada-alkB,651.0
b2213,ada,,2309341,2310405,-,DNA-binding transcriptional dual regulator/DNA repair protein Ada,Transcription,P06134,"RpoD,RpoS,Ada",ada-alkB,1065.0
b2214,ftp,,2310479,2311534,-,FAD:protein FMN transferase,Coenzyme transport and metabolism,P0AB85,"YeiE,ppGpp",ftp,1056.0
b2215,ompC,,2311646,2312749,-,outer membrane porin C,Cell wall/membrane/envelope biogenesis,P06996,"RpoD,rybB,rseX,micC,ipeX,YjjQ,EnvY,OmpR,CpxR,Lrp,IHF",ompC,1104.0
b2216,rcsD,,2313488,2316160,+,RcsD phosphotransferase,Signal transduction mechanisms,P39838,"RpoD,H-NS",rcsDB,2673.0
b2217,rcsB,,2316177,2316827,+,DNA-binding transcriptional activator RcsB,Transcription,P0DMC7,"RpoD,H-NS",rcsDB,651.0
b2218,rcsC,,2317027,2319876,-,sensory histidine kinase RcsC,Signal transduction mechanisms,P0DMC5,YddM,rcsC,2850.0
b2219,atoS,,2320043,2321869,+,sensory histidine kinase AtoS,Signal transduction mechanisms,Q06067,,atoSC,1827.0
b2220,atoC,,2321866,2323251,+,DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC,Signal transduction mechanisms,Q06065,,atoSC,1386.0
b2221,atoD,,2323447,2324109,+,acetyl-CoA:acetoacetyl-CoA transferase subunit alpha,Lipid transport and metabolism,P76458,"RpoN,AtoC,ppGpp,IHF,spf",atoDAEB,663.0
b2222,atoA,,2324109,2324759,+,acetyl-CoA:acetoacetyl-CoA transferase subunit beta,Lipid transport and metabolism,P76459,"RpoN,AtoC,IHF",atoDAEB,651.0
b2223,atoE,,2324756,2326078,+,short chain fatty acid transporter,Lipid transport and metabolism,P76460,"RpoN,AtoC,IHF",atoDAEB,1323.0
b2224,atoB,,2326109,2327293,+,acetyl-CoA acetyltransferase,Lipid transport and metabolism,P76461,"RpoN,AtoC,IHF",atoDAEB,1185.0
b2225,yfaP,,2327367,2328143,-,DUF2135 domain-containing protein YfaP,Function unknown,P76462,Lrp,yfaATS_1S_2QP,777.0
b2226,yfaQ,,2328148,2329797,-,tandem DUF2300 domain-containing protein YfaQ,Function unknown,P76463,,yfaATS_1S_2QP,1650.0
b4500,yfaS,,2329798,2334402,-,putative macroglobulin family protein%2C N-terminal fragment,Function unknown,,,yfaS,4605.0
b2229,yfaT,,2334336,2334959,-,DUF1175 domain-containing protein YfaT,Function unknown,P76466,,,
b2230,yfaA,,2334956,2336644,-,DUF2138 domain-containing protein YfaA,Function unknown,P17994,ppGpp,yfaATS_1S_2QP,1689.0
b2231,gyrA,,2336793,2339420,-,DNA gyrase subunit A,"Replication, recombination and repair",P0AES4,"RpoD,Crp,CspA,Fis",gyrA,2628.0
b2232,ubiG,,2339567,2340289,+,bifunctional 3-demethylubiquinone-8 3-O-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase,Coenzyme transport and metabolism,P17993,"RpoD,YidZ,Crp",ubiG,723.0
b2233,yfaL,,2340417,2344169,-,putative autotransporter adhesin YfaL,Cell wall/membrane/envelope biogenesis,P45508,,yfaL,3753.0
b2234,nrdA,,2344865,2347150,+,ribonucleoside-diphosphate reductase 1 subunit alpha,Nucleotide transport and metabolism,P00452,"RpoD,Crp,ArgP,NrdR,DnaA,Fis,H-NS",nrdAB-yfaE,2286.0
b2235,nrdB,,2347384,2348514,+,ribonucleoside-diphosphate reductase 1 subunit beta,Nucleotide transport and metabolism,P69924,"RpoD,Crp,ArgP,NrdR,DnaA,Fis,H-NS",nrdAB-yfaE,1131.0
b2236,yfaE,,2348514,2348768,+,ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein YfaE,Energy production and conversion,P0ABW3,"RpoD,Crp,ArgP,NrdR,DnaA,Fis,H-NS,Nac",nrdAB-yfaE,255.0
b2237,inaA,,2348822,2349472,-,putative lipopolysaccharide kinase InaA,Signal transduction mechanisms,P27294,"RpoD,MarA,Rob,SoxS,GlaR,gcvB",inaA,651.0
b2238,yfaH,,2349687,2349893,+,putative uncharacterized protein YfaH,Transcription,,,,
b2239,glpQ,,2349935,2351011,-,glycerophosphoryl diester phosphodiesterase,Energy production and conversion,P09394,"RpoD,RpoN,Fis,Fnr,Crp,IHF,GlpR",glpTQ,1077.0
