,gene_name,accession,start,end,strand,gene_product,cog,uniprot,operon,regulator
PN96_RS13650,ilvG,NZ_CP009977.1,2941626,2943272,-,acetolactate synthase 2 catalytic subunit,Coenzyme transport and metabolism,A0A1B1EG91,Op2865,
PN96_RS13655,comM,NZ_CP009977.1,2943740,2945263,+,YifB family Mg chelatase-like AAA ATPase,"Post-translational modification, protein turnover, and chaperones",UPI000357D177,Op2866,"QstR,TfoX"
PN96_RS13660,PN96_RS13660,NZ_CP009977.1,2945295,2946251,-,DUF2860 domain-containing protein,Function unknown,UPI000356EE07,Op2867,
PN96_RS13665,PN96_RS13665,NZ_CP009977.1,2946491,2947369,+,acyltransferase,Lipid transport and metabolism,UPI000357E8DD,Op2868,"QstR,TfoX"
PN96_RS13670,PN96_RS13670,NZ_CP009977.1,2947413,2948015,-,thiol:disulfide interchange protein DsbA/DsbL,"Post-translational modification, protein turnover, and chaperones",UPI000243B221,Op2869,Crp
PN96_RS13675,PN96_RS13675,NZ_CP009977.1,2948049,2949035,-,serine/threonine protein kinase,Nucleotide transport and metabolism,UPI0004624E05,Op2869,Crp
PN96_RS13680,ccoG,NZ_CP009977.1,2949090,2950511,-,cytochrome c oxidase accessory protein CcoG,Energy production and conversion,UPI0003579382,Op2870,"Crp,YdcR"
PN96_RS13685,PN96_RS13685,NZ_CP009977.1,2950791,2951057,-,YihD family protein,Function unknown,UPI000243B21E,Op2871,
PN96_RS23975,PN96_RS23975,NZ_CP009977.1,2951168,2951335,-,hypothetical protein,No COG annotation,UPI000243B21D,Op2872,
PN96_RS13690,PN96_RS13690,NZ_CP009977.1,2951633,2952445,+,sporulation protein,Function unknown,UPI000243B21C,Op2873,
PN96_RS13695,hyIII,NZ_CP009977.1,2952511,2953164,+,hemolysin III family protein,Function unknown,UPI000358166C,Op2874,FabR
PN96_RS13700,PN96_RS13700,NZ_CP009977.1,2953198,2953791,-,DUF3157 family protein,Function unknown,UPI000357C448,Op2875,
PN96_RS13705,PN96_RS13705,NZ_CP009977.1,2953817,2955262,-,TrkH family potassium uptake protein,Inorganic ion transport and metabolism,UPI000357383C,Op2875,
PN96_RS13710,trkA,NZ_CP009977.1,2955272,2956648,-,Trk system potassium transporter TrkA,Inorganic ion transport and metabolism,A0A1B1EG12,Op2875,
PN96_RS13715,rsmB,NZ_CP009977.1,2956712,2957995,-,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,"Translation, ribosomal structure and biogenesis",UPI0003575116,Op2876,
PN96_RS13720,fmt,NZ_CP009977.1,2958078,2959025,-,methionyl-tRNA formyltransferase,"Translation, ribosomal structure and biogenesis",UPI0003578676,Op2877,
PN96_RS13725,def,NZ_CP009977.1,2959060,2959578,-,peptide deformylase,"Translation, ribosomal structure and biogenesis",UPI000243C258,Op2877,
PN96_RS13730,tsaP,NZ_CP009977.1,2959717,2960811,+,LysM peptidoglycan-binding domain-containing protein,Energy production and conversion,UPI0003579A0D,Op2878,"QstR,TfoX"
PN96_RS13735,dprA,NZ_CP009977.1,2960795,2961904,+,DNA-processing protein DprA,"Replication, recombination and repair",UPI000357A086,Op2878,TfoX
PN96_RS13740,PN96_RS13740,NZ_CP009977.1,2961910,2962386,+,DUF494 family protein,Function unknown,UPI000243C255,Op2878,
PN96_RS13745,PN96_RS13745,NZ_CP009977.1,2962469,2963038,+,topoisomerase DNA-binding C4 zinc finger domain-containing protein,"Replication, recombination and repair",UPI0003578E2B,Op2879,
PN96_RS13750,purK,NZ_CP009977.1,2963099,2964232,-,5-(carboxyamino)imidazole ribonucleotide synthase,Nucleotide transport and metabolism,UPI0003577392,Op2880,PurR
PN96_RS13755,purE,NZ_CP009977.1,2964237,2964722,-,5-(carboxyamino)imidazole ribonucleotide mutase,Nucleotide transport and metabolism,A0A072HEJ8,Op2880,PurR
PN96_RS13760,PN96_RS13760,NZ_CP009977.1,2964928,2965485,+,threonylcarbamoyl-AMP synthase,"Translation, ribosomal structure and biogenesis",A0A1B1EG02,Op2881,PurR
PN96_RS13765,hemF,NZ_CP009977.1,2965534,2966451,+,oxygen-dependent coproporphyrinogen oxidase,Coenzyme transport and metabolism,UPI0003576978,Op2882,PurR
PN96_RS13770,aroE,NZ_CP009977.1,2966554,2967387,+,shikimate dehydrogenase,Amino acid transport and metabolism,A0A3B7D1H3,Op2883,
PN96_RS13775,PN96_RS13775,NZ_CP009977.1,2967391,2967654,+,DUF1488 domain-containing protein,Function unknown,UPI00035726F7,Op2883,
PN96_RS13780,PN96_RS13780,NZ_CP009977.1,2967671,2968219,-,gamma carbonic anhydrase family protein,Function unknown,UPI0003577BA4,Op2884,Crp
PN96_RS13830,PN96_RS13830,NZ_CP009977.1,2974708,2976087,+,multicopper oxidase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",UPI00035712C8,Op2885,
PN96_RS13835,crcB,NZ_CP009977.1,2976226,2976612,+,fluoride efflux transporter CrcB,"Cell cycle control, cell division, chromosome partitioning",A0A1B1EG08,Op2886,
PN96_RS13840,thiC,NZ_CP009977.1,2977041,2978981,+,phosphomethylpyrimidine synthase ThiC,Coenzyme transport and metabolism,A0A3B7D292,Op2887,TPP
PN96_RS13845,thiE,NZ_CP009977.1,2978981,2980306,+,thiamine phosphate synthase,Coenzyme transport and metabolism,UPI0003571DA3,Op2887,TPP
PN96_RS13850,thiF,NZ_CP009977.1,2980296,2981072,+,thiazole biosynthesis adenylyltransferase ThiF,Coenzyme transport and metabolism,UPI000420FC37,Op2887,TPP
PN96_RS13855,thiS,NZ_CP009977.1,2981092,2981355,+,sulfur carrier protein ThiS,Coenzyme transport and metabolism,UPI000357B8A6,Op2887,TPP
PN96_RS13860,thiG,NZ_CP009977.1,2981361,2982128,+,thiazole synthase,Coenzyme transport and metabolism,UPI0004231DA0,Op2887,TPP
PN96_RS13865,thiH,NZ_CP009977.1,2982144,2983271,+,2-iminoacetate synthase ThiH,Energy production and conversion,UPI0003571CD0,Op2887,TPP
PN96_RS13870,PN96_RS13870,NZ_CP009977.1,2983430,2985220,-,aminopeptidase P family protein,Amino acid transport and metabolism,UPI000358302F,Op2888,
PN96_RS13875,PN96_RS13875,NZ_CP009977.1,2985409,2986350,-,LysR family transcriptional regulator,Transcription,A0A1B1EGR5,Op2889,
PN96_RS13880,PN96_RS13880,NZ_CP009977.1,2986457,2987650,+,multidrug effflux MFS transporter,Amino acid transport and metabolism,UPI00040A6981,Op2890,
PN96_RS13885,PN96_RS13885,NZ_CP009977.1,2987742,2988026,+,hypothetical protein,No COG annotation,A0A1B1EG14,Op2891,
PN96_RS13890,PN96_RS13890,NZ_CP009977.1,2988054,2988509,-,DoxX family protein,Function unknown,UPI000356E440,Op2892,
PN96_RS13895,PN96_RS13895,NZ_CP009977.1,2988520,2989275,-,DNA-binding domain-containing protein,Function unknown,UPI000356E95F,Op2892,
PN96_RS13900,PN96_RS13900,NZ_CP009977.1,2989272,2990144,-,DUF692 domain-containing protein,Function unknown,UPI00035782AA,Op2892,
PN96_RS13905,PN96_RS13905,NZ_CP009977.1,2990230,2990490,-,DUF2282 domain-containing protein,Function unknown,UPI000243C23E,Op2893,
PN96_RS13910,uvrD,NZ_CP009977.1,2990771,2992945,+,DNA helicase II,"Replication, recombination and repair",UPI000356FF61,Op2894,LexA
PN96_RS13920,ggt,NZ_CP009977.1,2993626,2995392,-,gamma-glutamyltransferase,Cell wall/membrane/envelope biogenesis,UPI000358124B,Op2895,
PN96_RS13925,PN96_RS13925,NZ_CP009977.1,2995502,2996161,-,LysE family translocator,Amino acid transport and metabolism,A0A1B1EFY2,Op2896,
PN96_RS13930,PN96_RS13930,NZ_CP009977.1,2996253,2997050,-,AraC family transcriptional regulator,Transcription,UPI000357EF92,Op2897,
PN96_RS13935,rarD,NZ_CP009977.1,2997124,2998038,-,EamA family transporter RarD,Function unknown,A0A3B7D1F4,Op2898,
PN96_RS13940,recQ,NZ_CP009977.1,2998212,3000047,+,ATP-dependent DNA helicase RecQ,"Replication, recombination and repair",UPI0003579DBA,Op2899,
PN96_RS13945,PN96_RS13945,NZ_CP009977.1,3000057,3000362,+,DUF3630 family protein,Function unknown,A0A1B1EG11,Op2899,
PN96_RS13950,PN96_RS13950,NZ_CP009977.1,3000604,3001272,+,7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter,"Intracellular trafficking, secretion, and vesicular transport",A0A1B1EG09,Op2900,
PN96_RS13955,gppA,NZ_CP009977.1,3001466,3002959,-,guanosine-5'-triphosphate%2C3'-diphosphate diphosphatase,Nucleotide transport and metabolism,A0A1B1EFZ9,Op2901,
PN96_RS13960,rhlB,NZ_CP009977.1,3002978,3004291,-,ATP-dependent RNA helicase RhlB,"Translation, ribosomal structure and biogenesis",UPI00035711D2,Op2901,
PN96_RS13965,trxA,NZ_CP009977.1,3004403,3004729,+,thioredoxin TrxA,"Post-translational modification, protein turnover, and chaperones",A0A1B1EFX3,Op2902,
PN96_RS13970,rho,NZ_CP009977.1,3004925,3006184,+,transcription termination factor Rho,Transcription,A0A072L842,Op2903,
PN96_RS13975,PN96_RS13975,NZ_CP009977.1,3006293,3007288,+,hypothetical protein,No COG annotation,A0A1B1EGN7,Op2904,
PN96_RS13980,ubiD,NZ_CP009977.1,3007384,3009237,+,4-hydroxy-3-polyprenylbenzoate decarboxylase,Coenzyme transport and metabolism,UPI0003573ED8,Op2905,
PN96_RS13985,PN96_RS13985,NZ_CP009977.1,3009234,3009503,+,2Fe-2S iron-sulfur cluster binding domain-containing protein,Energy production and conversion,A0A1B1EG01,Op2905,
PN96_RS13990,fre,NZ_CP009977.1,3009518,3010231,+,NAD(P)H-flavin reductase,Energy production and conversion,UPI000356ED69,Op2905,
PN96_RS23675,PN96_RS23675,NZ_CP009977.1,3016127,3017161,-,IS630 family transposase,"Replication, recombination and repair",,Op2906,
PN96_RS14035,PN96_RS14035,NZ_CP009977.1,3017915,3019096,-,hypothetical protein,Coenzyme transport and metabolism,UPI000243C12D,Op2907,
PN96_RS14040,PN96_RS14040,NZ_CP009977.1,3019096,3020307,-,uroporphyrinogen-III C-methyltransferase,Coenzyme transport and metabolism,A0A3B7CUE3,Op2907,
PN96_RS14045,PN96_RS14045,NZ_CP009977.1,3020325,3021053,-,uroporphyrinogen-III synthase,Coenzyme transport and metabolism,A0A1B1EFY9,Op2907,
PN96_RS14050,hemC,NZ_CP009977.1,3021056,3021994,-,hydroxymethylbilane synthase,Coenzyme transport and metabolism,UPI0003570D75,Op2907,
PN96_RS14055,PN96_RS14055,NZ_CP009977.1,3022342,3024867,+,class I adenylate cyclase,Nucleotide transport and metabolism,A0A3B7D172,Op2908,Crp
PN96_RS14060,cyaY,NZ_CP009977.1,3024938,3025252,-,iron donor protein CyaY,Inorganic ion transport and metabolism,A0A1B1EG80,Op2909,Crp
PN96_RS14065,PN96_RS14065,NZ_CP009977.1,3025232,3025443,+,lipoprotein,No COG annotation,,Op2910,
PN96_RS14070,lysA,NZ_CP009977.1,3025505,3026758,+,diaminopimelate decarboxylase,Amino acid transport and metabolism,A0A3B7CVG6,Op2911,Crp
PN96_RS14075,dapF,NZ_CP009977.1,3026769,3027599,+,diaminopimelate epimerase,Amino acid transport and metabolism,UPI0003575D5C,Op2911,Crp
PN96_RS14080,PN96_RS14080,NZ_CP009977.1,3027593,3028324,+,DUF484 family protein,Function unknown,UPI00046290B6,Op2911,Crp
PN96_RS14085,xerC,NZ_CP009977.1,3028290,3029222,+,tyrosine recombinase XerC,"Cell cycle control, cell division, chromosome partitioning",A0A1B1EFZ0,Op2911,Crp
PN96_RS14090,yigB,NZ_CP009977.1,3029231,3029947,+,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB,Function unknown,UPI0003578418,Op2911,Crp
PN96_RS14095,PN96_RS14095,NZ_CP009977.1,3030040,3030636,-,DTW domain-containing protein,Function unknown,UPI0003573A36,Op2912,
PN96_RS14100,PN96_RS14100,NZ_CP009977.1,3030636,3032186,-,membrane protein,Function unknown,UPI000357B448,Op2912,TfoX
PN96_RS14105,PN96_RS14105,NZ_CP009977.1,3032234,3032704,+,EVE domain-containing protein,Function unknown,UPI000243C11F,Op2913,
PN96_RS14110,PN96_RS14110,NZ_CP009977.1,3032753,3033589,-,Cof-type HAD-IIB family hydrolase,Function unknown,UPI000357DFE8,Op2914,
PN96_RS14115,PN96_RS14115,NZ_CP009977.1,3033870,3034871,-,alpha/beta fold hydrolase,Lipid transport and metabolism,UPI0003575093,Op2915,
PN96_RS14120,rhtB,NZ_CP009977.1,3034937,3035554,+,homoserine/homoserine lactone efflux protein,Amino acid transport and metabolism,A0A1B1EGM2,Op2916,
PN96_RS14125,PN96_RS14125,NZ_CP009977.1,3035582,3036805,+,EAL domain-containing protein,Signal transduction mechanisms,A0A3B7D1C3,Op2916,
PN96_RS14130,PN96_RS14130,NZ_CP009977.1,3036908,3037243,+,metalloregulator ArsR/SmtB family transcription factor,Transcription,A0A1B1EFY3,Op2917,
PN96_RS14135,PN96_RS14135,NZ_CP009977.1,3037294,3038295,+,ArsJ-associated glyceraldehyde-3-phosphate dehydrogenase,Energy production and conversion,UPI00035759D5,Op2918,
PN96_RS14140,PN96_RS14140,NZ_CP009977.1,3038308,3038802,+,cyclin-dependent kinase inhibitor 3 family protein,Signal transduction mechanisms,A0A1B1EFV5,Op2918,
PN96_RS14145,arsJ,NZ_CP009977.1,3039059,3040276,+,organoarsenical effux MFS transporter ArsJ,Amino acid transport and metabolism,A0A1B1EFW6,Op2919,
PN96_RS14150,PN96_RS14150,NZ_CP009977.1,3040511,3041524,+,acyltransferase family protein,Function unknown,UPI0003575556,Op2920,
PN96_RS14155,PN96_RS14155,NZ_CP009977.1,3041543,3041872,-,DUF2500 domain-containing protein,Function unknown,A0A1B1EFV0,Op2921,TfoX
PN96_RS14160,PN96_RS14160,NZ_CP009977.1,3042114,3042482,+,hypothetical protein,No COG annotation,A0A1B1EFU3,Op2922,Crp
PN96_RS14165,PN96_RS14165,NZ_CP009977.1,3043444,3044064,+,lysoplasmalogenase,Function unknown,A0A3B7CVE7,Op2923,
PN96_RS14170,PN96_RS14170,NZ_CP009977.1,3044147,3044368,+,DUF2492 family protein,Function unknown,A0A1B1EGK7,Op2924,
PN96_RS14175,PN96_RS14175,NZ_CP009977.1,3044450,3044716,-,DUF1145 domain-containing protein,Function unknown,A0A1B1EFW4,Op2925,
PN96_RS14180,rsmD,NZ_CP009977.1,3044742,3045341,-,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,"Translation, ribosomal structure and biogenesis",UPI0003580BF7,Op2925,
PN96_RS14185,ftsY,NZ_CP009977.1,3045565,3046776,+,signal recognition particle-docking protein FtsY,"Intracellular trafficking, secretion, and vesicular transport",UPI000357A92F,Op2926,
PN96_RS14190,ftsE,NZ_CP009977.1,3046799,3047473,+,cell division ATP-binding protein FtsE,"Cell cycle control, cell division, chromosome partitioning",A0A1B1EFU5,Op2926,
PN96_RS14195,ftsX,NZ_CP009977.1,3047463,3048431,+,permease-like cell division protein FtsX,"Cell cycle control, cell division, chromosome partitioning",A0A1B1EFV6,Op2926,
PN96_RS14200,rpoH,NZ_CP009977.1,3048607,3049464,+,RNA polymerase sigma factor RpoH,Transcription,A0A1B1EFV9,Op2927,
PN96_RS14210,glpE,NZ_CP009977.1,3049957,3050277,+,thiosulfate sulfurtransferase GlpE,Inorganic ion transport and metabolism,A0A1B1EFT9,Op2928,Crp
PN96_RS14215,glpG,NZ_CP009977.1,3050277,3051119,+,rhomboid family intramembrane serine protease GlpG,Function unknown,UPI0003579032,Op2928,
PN96_RS14220,fliL,NZ_CP009977.1,3051183,3051593,-,flagellar basal body-associated protein FliL,Cell motility,A0A1B1EG57,Op2929,
PN96_RS14225,PN96_RS14225,NZ_CP009977.1,3051746,3052285,+,chorismate lyase,Coenzyme transport and metabolism,A0A1B1EGJ8,Op2930,
PN96_RS14230,ubiA,NZ_CP009977.1,3052286,3053140,+,4-hydroxybenzoate octaprenyltransferase,Coenzyme transport and metabolism,A0A3B7CWQ4,Op2930,
PN96_RS14235,plsB,NZ_CP009977.1,3053197,3055623,-,glycerol-3-phosphate 1-O-acyltransferase PlsB,Lipid transport and metabolism,UPI0003580FF1,Op2931,"FadR,LexA"
PN96_RS14240,lexA,NZ_CP009977.1,3055987,3056607,+,transcriptional repressor LexA,Transcription,A0A1B1EFW2,Op2932,LexA
PN96_RS14245,PN96_RS14245,NZ_CP009977.1,3056789,3057583,+,class I SAM-dependent methyltransferase,Coenzyme transport and metabolism,UPI0003577758,Op2933,Fur
PN96_RS14250,dinF,NZ_CP009977.1,3057639,3058982,+,MATE family efflux transporter DinF,Defense mechanisms,UPI000357C85C,Op2934,
PN96_RS14255,sthA,NZ_CP009977.1,3059049,3060449,-,Si-specific NAD(P)(+) transhydrogenase,Energy production and conversion,A0A1B1EFV1,Op2935,
PN96_RS14260,fabR,NZ_CP009977.1,3060744,3061385,+,HTH-type transcriptional repressor FabR,Transcription,A0A1B1EFS8,Op2936,
PN96_RS14265,PN96_RS14265,NZ_CP009977.1,3061385,3061756,+,YijD family membrane protein,Function unknown,A0A1B1EFS5,Op2936,
PN96_RS14270,trmA,NZ_CP009977.1,3061819,3062925,-,tRNA (uridine(54)-C5)-methyltransferase TrmA,"Translation, ribosomal structure and biogenesis",A0A1B1EG47,Op2937,
PN96_RS14275,btuB,NZ_CP009977.1,3063372,3065207,+,TonB-dependent vitamin B12 receptor,Coenzyme transport and metabolism,UPI00035814BB,Op2938,MetJ
PN96_RS14280,PN96_RS14280,NZ_CP009977.1,3065273,3065956,+,ATPase,Function unknown,UPI0003577A10,Op2939,Cobalamin
PN96_RS14285,murI,NZ_CP009977.1,3065997,3066812,+,glutamate racemase,Cell wall/membrane/envelope biogenesis,A0A1B1EFU9,Op2939,Cobalamin
PN96_RS14290,PN96_RS14290,NZ_CP009977.1,3066766,3067221,-,RNA-binding protein,Function unknown,A0A1B1EGM4,Op2940,Crp
PN96_RS14350,PN96_RS14350,NZ_CP009977.1,3078697,3079278,-,IS630 family transposase,"Replication, recombination and repair",UPI0009B740CF,Op2941,
PN96_RS14355,PN96_RS14355,NZ_CP009977.1,3079441,3082260,-,hypothetical protein,Cell motility,UPI0003570306,Op2942,
PN96_RS14360,PN96_RS14360,NZ_CP009977.1,3082403,3083248,-,fimbria/pilus periplasmic chaperone,Cell motility,UPI0003581E96,Op2943,
PN96_RS14365,PN96_RS14365,NZ_CP009977.1,3083266,3083733,-,DUF4402 domain-containing protein,No COG annotation,UPI0003575AE7,Op2943,
PN96_RS14370,PN96_RS14370,NZ_CP009977.1,3083806,3084420,-,DUF4402 domain-containing protein,Function unknown,UPI0003581988,Op2944,
PN96_RS14375,PN96_RS14375,NZ_CP009977.1,3084609,3085355,-,SPOR domain-containing protein,Amino acid transport and metabolism,UPI0003574860,Op2945,
PN96_RS14380,fis,NZ_CP009977.1,3085974,3086270,-,DNA-binding transcriptional regulator Fis,Transcription,A0A067BHM0,Op2946,
PN96_RS14385,dusB,NZ_CP009977.1,3086294,3087262,-,tRNA dihydrouridine synthase DusB,"Translation, ribosomal structure and biogenesis",A0A1B1EGN8,Op2946,
PN96_RS14390,prmA,NZ_CP009977.1,3087402,3088289,-,50S ribosomal protein L11 methyltransferase,"Translation, ribosomal structure and biogenesis",A0A3B7CUF9,Op2947,
PN96_RS14395,accC,NZ_CP009977.1,3088420,3089763,-,acetyl-CoA carboxylase biotin carboxylase subunit,Lipid transport and metabolism,A0A1B1EG07,Op2948,
PN96_RS14400,accB,NZ_CP009977.1,3089778,3090236,-,acetyl-CoA carboxylase biotin carboxyl carrier protein,Lipid transport and metabolism,UPI000243BEF1,Op2948,
PN96_RS14405,aroQ,NZ_CP009977.1,3090297,3090746,-,type II 3-dehydroquinate dehydratase,Amino acid transport and metabolism,A0A1B1EFQ5,Op2949,
PN96_RS14410,acs,NZ_CP009977.1,3091051,3093000,-,acetate--CoA ligase,Nucleotide transport and metabolism,UPI000357FC59,Op2950,
PN96_RS14415,PN96_RS14415,NZ_CP009977.1,3093294,3093923,-,3'-5' exonuclease,"Replication, recombination and repair",UPI000243BEEE,Op2951,
PN96_RS14420,PN96_RS14420,NZ_CP009977.1,3093954,3095780,-,DUF294 nucleotidyltransferase-like domain-containing protein,Signal transduction mechanisms,UPI000358016A,Op2951,
PN96_RS14425,PN96_RS14425,NZ_CP009977.1,3096011,3097201,+,3-phenylpropionate MFS transporter,Amino acid transport and metabolism,UPI0003578343,Op2952,
PN96_RS14430,PN96_RS14430,NZ_CP009977.1,3097322,3100756,+,hybrid sensor histidine kinase/response regulator,Signal transduction mechanisms,A0A1B1EFQ4,Op2953,
PN96_RS14435,PN96_RS14435,NZ_CP009977.1,3100832,3102217,-,class II fumarate hydratase,Energy production and conversion,UPI000357F8DD,Op2954,"FNR,Fur"
PN96_RS14440,PN96_RS14440,NZ_CP009977.1,3102382,3102864,-,hypothetical protein,No COG annotation,A0A1B1EFM0,Op2955,
PN96_RS14445,PN96_RS14445,NZ_CP009977.1,3102970,3104697,-,cation acetate symporter,Function unknown,A0A1B1EFZ6,Op2956,
PN96_RS14450,PN96_RS14450,NZ_CP009977.1,3104710,3104973,-,DUF4212 domain-containing protein,Function unknown,UPI000357954C,Op2956,
PN96_RS14455,PN96_RS14455,NZ_CP009977.1,3105362,3107104,+,potassium/proton antiporter,Inorganic ion transport and metabolism,A0A3B7CWJ3,Op2957,
PN96_RS14460,PN96_RS14460,NZ_CP009977.1,3107108,3107737,-,response regulator transcription factor,Transcription,A0A1B1EFP7,Op2958,
PN96_RS14465,PN96_RS14465,NZ_CP009977.1,3107931,3109751,-,protein-disulfide reductase DsbD,Energy production and conversion,UPI0003582B6A,Op2959,
PN96_RS14470,dcuA,NZ_CP009977.1,3109913,3111220,-,anaerobic C4-dicarboxylate transporter,Function unknown,A0A1B1EFM1,Op2960,NarP
PN96_RS14475,aspA,NZ_CP009977.1,3111393,3112844,-,aspartate ammonia-lyase,Amino acid transport and metabolism,A0A3B7D1V8,Op2961,"Crp,NarP"
PN96_RS14480,fxsA,NZ_CP009977.1,3113230,3113763,+,membrane protein FxsA,Function unknown,A0A3B7D693,Op2962,
PN96_RS14485,trmL,NZ_CP009977.1,3113834,3114313,-,tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL,"Translation, ribosomal structure and biogenesis",A0A1B1EFL9,Op2963,
PN96_RS14490,cpxA,NZ_CP009977.1,3114508,3115905,-,envelope stress sensor histidine kinase CpxA,Signal transduction mechanisms,UPI000357427E,Op2964,
PN96_RS14495,PN96_RS14495,NZ_CP009977.1,3115905,3116594,-,response regulator,Transcription,UPI000356FBBB,Op2964,
PN96_RS14500,PN96_RS14500,NZ_CP009977.1,3116785,3117297,+,CpxP family protein,Cell motility,UPI000357CBBE,Op2965,
PN96_RS14505,fieF,NZ_CP009977.1,3117420,3118328,+,CDF family cation-efflux transporter FieF,Inorganic ion transport and metabolism,A0A3B7CWH7,Op2966,
