,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator
PA3607,potA,,4041079,4042170,+,polyamine transporter ATP-binding protein PotA,Amino acid transport and metabolism,Q9HY19,
PA3608,potB,,4042175,4043068,+,polyamine ABC transporter permease PotB,Inorganic ion transport and metabolism,Q9HY18,
PA3609,potC,,4043061,4043831,+,polyamine ABC transporter permease PotC,Amino acid transport and metabolism,Q9HY17,
PA3610,potD,,4043920,4044984,+,polyamine ABC transporter substrate-binding protein PotD,Amino acid transport and metabolism,Q9HY16,
PA3611,PA3611,,4045160,4045570,+,hypothetical protein,Function unknown,Q9HY15,
PA3612,PA3612,,4045589,4045810,+,hypothetical protein,Function unknown,Q9HY14,
PA3613,PA3613,,4045934,4048339,-,hypothetical protein,Carbohydrate transport and metabolism,Q9HY13,
PA3614,PA3614,,4048519,4049922,+,hypothetical protein,"Translation, ribosomal structure and biogenesis",Q9HY12,
PA3615,PA3615,,4050005,4051075,+,hypothetical protein,Function unknown,Q9HY11,
PA3616,PA3616,,4051097,4051558,-,recombination regulator RecX,Function unknown,P37860,LexA
PA3617,recA,,4051564,4052604,-,recombinase A,"Replication, recombination and repair",P08280,LexA
PA3618,PA3618,,4052738,4053244,-,hypothetical protein,Function unknown,Q9HY10,
PA3619,PA3619,,4053392,4054399,+,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q9HY09,
PA3620,mutS,,4054525,4057092,+,DNA mismatch repair protein MutS,"Replication, recombination and repair",Q9HY08,
PA3621,fdxA,,4057159,4057482,+,ferredoxin I,Energy production and conversion,Q9HY07,
PA3622,rpoS,,4057909,4058913,-,RNA polymerase sigma factor RpoS,Transcription,P45684,PsrA
PA3623,PA3623,,4059018,4059911,-,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",P45682,
PA3624,pcm,,4059957,4060592,-,protein-L-isoaspartate O-methyltransferase,"Translation, ribosomal structure and biogenesis",P45683,
PA3625,surE,,4060625,4061374,-,5'-nucleotidase SurE,Function unknown,Q9HY05,
PA3626,PA3626,,4061362,4062429,-,tRNA pseudouridine synthase D,"Translation, ribosomal structure and biogenesis",Q9HY04,
PA3627,ygbB,,4062426,4062899,-,2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase,Lipid transport and metabolism,P57708,
PA3628,PA3628,,4062970,4063821,-,esterase,Function unknown,Q9HY02,
PA3629,adhC,,4063875,4064987,-,alcohol dehydrogenase,Energy production and conversion,Q9HY01,
PA3630,gfnR,,4065119,4066027,+,glutathione-dependent formaldehyde neutralization regulator GfnR,Transcription,Q9HY00,
PA3631,PA3631,,4066103,4067329,+,hypothetical protein,Function unknown,Q9HXZ9,
PA3632,PA3632,,4067295,4067543,+,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9HXZ8,
PA3633,ygbP,,4067604,4068308,-,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Lipid transport and metabolism,P57707,
PA3634,PA3634,,4068328,4068612,-,cell division protein FtsB,"Cell cycle control, cell division, chromosome partitioning",Q9HXZ6,
PA3635,eno,,4068677,4069966,-,enolase,Carbohydrate transport and metabolism,Q9HXZ5,
PA3636,kdsA,,4070012,4070857,-,2-dehydro-3-deoxyphosphooctonate aldolase,Cell wall/membrane/envelope biogenesis,Q9ZFK4,
PA3637,pyrG,,4070860,4072488,-,CTP synthetase,Nucleotide transport and metabolism,Q9HXZ4,
PA3638,PA3638,,4072659,4073987,-,tRNA(Ile)-lysidine synthase,"Cell cycle control, cell division, chromosome partitioning",Q9HXZ3,
PA3639,accA,,4074057,4075007,-,acetyl-CoA carboxylase carboxyltransferase subunit alpha,Lipid transport and metabolism,Q9HXZ2,
PA3640,dnaE,,4075157,4078678,-,DNA polymerase III subunit alpha,"Replication, recombination and repair",Q9HXZ1,
PA3641,PA3641,,4078808,4080223,-,amino acid permease,"Intracellular trafficking, secretion, and vesicular transport",Q9HXZ0,
PA3642,rnhB,,4080440,4081045,-,ribonuclease HII,"Replication, recombination and repair",Q9HXY9,
PA3643,lpxB,,4081045,4082181,-,lipid-A-disaccharide synthase,Cell wall/membrane/envelope biogenesis,Q9HXY8,
PA3644,lpxA,,4082185,4082961,-,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,Lipid transport and metabolism,Q9X6P4,
PA3645,fabZ,,4082958,4083398,-,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,Lipid transport and metabolism,Q9HXY7,
PA3646,lpxD,,4083444,4084505,-,UDP-3-O-acylglucosamine N-acyltransferase,Cell wall/membrane/envelope biogenesis,Q9HXY6,
PA3647,PA3647,,4084505,4085011,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HXY5,
PA3648,opr86,,4085062,4087455,-,outer membrane protein Opr86,Cell wall/membrane/envelope biogenesis,Q9HXY4,
PA3649,PA3649,,4087526,4088878,-,zinc metalloprotease,Cell wall/membrane/envelope biogenesis,A5JIY6,
PA3650,dxr,,4088904,4090094,-,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Lipid transport and metabolism,Q9KGU6,
PA3651,cdsA,,4090091,4090906,-,phosphatidate cytidylyltransferase,Lipid transport and metabolism,Q59640,
PA3652,uppS,,4090900,4091655,-,ditrans%2Cpolycis-undecaprenyl-diphosphate synthase,Coenzyme transport and metabolism,Q9HXY2,
PA3653,frr,,4091671,4092228,-,ribosome recycling factor,"Translation, ribosomal structure and biogenesis",O82853,
PA3654,pyrH,,4092231,4092968,-,uridylate kinase,Nucleotide transport and metabolism,O82852,
PA3655,tsf,,4093167,4094036,-,elongation factor Ts,"Translation, ribosomal structure and biogenesis",O82851,
PA3656,rpsB,,4094167,4094907,-,30S ribosomal protein S2,"Translation, ribosomal structure and biogenesis",O82850,
PA3657,map,,4095172,4095957,+,methionine aminopeptidase,Amino acid transport and metabolism,Q9HXY1,
PA3658,glnD,,4096124,4098826,+,bifunctional uridylyltransferase/uridylyl-removing protein,"Post-translational modification, protein turnover,and chaperones",Q9Z9H0,
PA3659,PA3659,,4098844,4100052,+,succinyldiaminopimelate transaminase,Amino acid transport and metabolism,Q9HXY0,
PA3660,PA3660,,4100104,4101849,-,sodium/hydrogen antiporter,Inorganic ion transport and metabolism,Q9HXX9,
PA3661,PA3661,,4102087,4102446,+,hypothetical protein,No COG annotation,Q9HXX8,
PA3662,PA3662,,4102768,4103061,+,hypothetical protein,No COG annotation,Q9HXX7,
PA3663,PA3663,,4103076,4103429,-,hypothetical protein,Function unknown,Q9HXX6,
PA3664,PA3664,,4103732,4104079,+,hypothetical protein,Inorganic ion transport and metabolism,Q9HXX5,
PA3665,PA3665,,4104092,4104715,+,hypothetical protein,Amino acid transport and metabolism,Q9HXX4,
PA3666,dapD,,4104745,4105779,+,2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase,Amino acid transport and metabolism,G3XD76,
PA3667,PA3667,,4105874,4107079,+,cysteine desulfurase,Amino acid transport and metabolism,Q9HXX3,
PA3668,PA3668,,4107076,4107498,+,hypothetical protein,Function unknown,Q9HXX2,
PA3669,PA3669,,4107505,4108485,-,hypothetical protein,Function unknown,Q9HXX1,
PA3670,PA3670,,4108489,4110336,-,hypothetical protein,Cell motility,Q9HXX0,
PA3671,PA3671,,4110347,4111081,-,ABC transporter permease,Function unknown,Q9HXW9,
PA3672,PA3672,,4111078,4112001,-,ABC transporter ATP-binding protein,Defense mechanisms,Q9HXW8,
PA3673,plsB,,4112285,4114789,+,glycerol-3-phosphate acyltransferase,Lipid transport and metabolism,Q9HXW7,
PA3674,PA3674,,4114933,4115331,+,hypothetical protein,Function unknown,Q9HXW6,
PA3675,PA3675,,4115468,4116148,+,hypothetical protein,Function unknown,Q9HXW5,
PA3676,PA3676,,4116188,4119265,-,resistance-nodulation-cell division (RND) efflux transporter,Defense mechanisms,Q9HXW4,
PA3677,PA3677,,4119270,4120373,-,resistance-nodulation-cell division (RND) efflux membrane fusion protein,Cell wall/membrane/envelope biogenesis,Q9HXW3,
PA3678,PA3678,,4120469,4121107,+,transcriptional regulator,Transcription,Q9HXW2,
PA3679,PA3679,,4121114,4122391,-,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9HXW1,
PA3680,PA3680,,4122420,4123205,-,ribosomal RNA small subunit methyltransferase J,"Translation, ribosomal structure and biogenesis",Q9HXW0,
PA3681,PA3681,,4123261,4123956,-,hypothetical protein,Function unknown,Q9HXV9,
PA3682,PA3682,,4123961,4124785,-,hypothetical protein,Carbohydrate transport and metabolism,Q9HXV8,
PA3683,PA3683,,4124858,4125724,-,hypothetical protein,Function unknown,Q9HXV7,
PA3684,PA3684,,4125743,4126090,-,hypothetical protein,No COG annotation,Q9HXV6,
PA3685,PA3685,,4126164,4126844,-,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9HXV5,
PA3686,adk,,4126948,4127595,-,adenylate kinase,Nucleotide transport and metabolism,Q9HXV4,
PA3687,ppc,,4127756,4130392,-,phosphoenolpyruvate carboxylase,Energy production and conversion,Q9HXV3,
PA3688,PA3688,,4130599,4130943,+,hypothetical protein,Function unknown,Q9HXV2,
PA3689,PA3689,,4130952,4131422,-,transcriptional regulator,Transcription,Q9HXV1,
PA3690,PA3690,,4131536,4133758,+,metal-transporting P-type ATPase,Inorganic ion transport and metabolism,Q9HXV0,CadR-PbrR
PA3691,PA3691,,4134138,4134542,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HXU9,
PA3692,lptF,,4134591,4135376,+,outer membrane porin F,Cell wall/membrane/envelope biogenesis,Q9HXU8,
PA3693,PA3693,,4135452,4135973,-,hypothetical protein,Function unknown,Q9HXU7,
PA3694,PA3694,,4135970,4136293,-,hypothetical protein,No COG annotation,Q9HXU6,
PA3695,PA3695,,4136290,4137195,-,hypothetical protein,Function unknown,Q9HXU5,
PA3696,PA3696,,4137192,4137938,-,hypothetical protein,Function unknown,Q9HXU4,
PA3697,PA3697,,4138007,4139302,-,hypothetical protein,Function unknown,Q9HXU3,
PA3698,PA3698,,4139311,4139862,-,hypothetical protein,No COG annotation,Q9HXU2,
PA3699,PA3699,,4139959,4140672,-,transcriptional regulator,Transcription,Q9HXU1,
PA3700,lysS,,4140884,4142389,-,lysine--tRNA ligase,"Translation, ribosomal structure and biogenesis",Q9HXU0,
PA3701,prfB,,4142570,4143593,-,peptide chain release factor 1,No COG annotation,E1JGJ8,
PA3702,wspR,,4143788,4144831,-,two-component response regulator,Signal transduction mechanisms,Q9HXT9,
PA3703,wspF,,4144939,4145946,-,chemotaxis-specific methylesterase,Cell motility,Q9HXT8,
PA3704,wspE,,4145943,4148252,-,chemotaxis sensor/effector fusion protein,Signal transduction mechanisms,Q9HXT7,
PA3705,wspD,,4148249,4148938,-,hypothetical protein,Cell motility,Q9HXT6,
PA3706,wspC,,4148931,4150199,-,biofilm formation methyltransferase WspC,Cell motility,Q9HXT5,
PA3707,PA3707,,4150196,4150711,-,hypothetical protein,Cell motility,Q9HXT4,
PA3708,wspA,,4150716,4152344,-,chemotaxis transducer,Cell motility,Q9HXT3,
PA3709,PA3709,,4152611,4154230,-,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9HXT2,
PA3710,PA3710,,4154339,4156012,-,GMC-type oxidoreductase,Amino acid transport and metabolism,Q9HXT1,
PA3711,PA3711,,4156184,4157089,+,transcriptional regulator,Transcription,Q9HXT0,
PA3712,PA3712,,4157126,4157821,-,hypothetical protein,Function unknown,Q9HXS9,
PA3713,spdH,,4158143,4160005,+,spermidine dehydrogenase SpdH,Coenzyme transport and metabolism,Q9HXS8,
PA3714,PA3714,,4160329,4160970,+,two-component response regulator,Signal transduction mechanisms,Q9HXS7,
PA3715,PA3715,,4161091,4161894,+,hypothetical protein,No COG annotation,Q9HXS6,
PA3716,PA3716,,4161973,4163679,-,hypothetical protein,Amino acid transport and metabolism,Q9HXS5,
PA3717,PA3717,,4163890,4164231,+,FkbP-type peptidyl-prolyl cis-trans isomerase,Carbohydrate transport and metabolism,Q9HXS4,
PA3718,PA3718,,4164330,4165571,-,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9HXS3,SoxR
PA3719,armR,,4165719,4165880,-,MexR antirepressor ArmR,No COG annotation,Q9HXS2,
PA3720,PA3720,,4165888,4166313,-,hypothetical protein,No COG annotation,Q9HXS1,
PA3721,nalC,,4166518,4167159,+,transcriptional regulator,Transcription,Q9HXS0,
PA3722,PA3722,,4167172,4167522,-,hypothetical protein,No COG annotation,Q9HXR9,
PA3723,PA3723,,4167711,4168817,-,FMN oxidoreductase,Energy production and conversion,Q9HXR8,
PA3724,lasB,,4168987,4170483,-,elastase LasB,Amino acid transport and metabolism,P14756,
PA3725,recJ,,4170770,4172485,-,single-stranded-DNA-specific exonuclease RecJ,"Replication, recombination and repair",Q9HXR7,
PA3726,PA3726,,4172529,4173068,-,hypothetical protein,Function unknown,Q9HXR6,
PA3727,PA3727,,4173175,4173867,-,hypothetical protein,Lipid transport and metabolism,Q9HXR5,
PA3728,PA3728,,4173886,4179126,-,hypothetical protein,Transcription,Q9HXR4,
PA3729,PA3729,,4179276,4181342,-,hypothetical protein,Function unknown,Q9HXR3,
PA3730,PA3730,,4181378,4182019,-,hypothetical protein,No COG annotation,Q9HXR2,
PA3731,PA3731,,4182075,4182770,-,hypothetical protein,Transcription,Q9HXR1,
PA3732,PA3732,,4182785,4183405,-,hypothetical protein,Function unknown,UPI0001E9E34A,
PA3733,PA3733,,4183710,4184939,+,hypothetical protein,Energy production and conversion,Q9HXQ9,
PA3733a,PA3733a,,4185125,4185481,-,hypothetical protein,Function unknown,UPI0000F2F029,
PA3734,PA3734,,4185522,4186727,+,hypothetical protein,Amino acid transport and metabolism,Q9HXQ8,
PA3735,thrC,,4186781,4188190,-,threonine synthase,Amino acid transport and metabolism,P29363,
PA3736,hom,,4188243,4189547,-,homoserine dehydrogenase,Amino acid transport and metabolism,P29365,
PA3737,dsbC,,4189761,4190489,-,thiol:disulfide interchange protein DsbC,"Post-translational modification, protein turnover,and chaperones",G3XD17,
PA3738,xerD,,4190616,4191512,-,site-specific tyrosine recombinase XerD,"Cell cycle control, cell division, chromosome partitioning",Q9HXQ6,
PA3739,PA3739,,4191727,4193562,+,sodium/hydrogen antiporter,Inorganic ion transport and metabolism,Q9HXQ5,
PA3740,PA3740,,4193675,4194361,+,hypothetical protein,Function unknown,Q9HXQ4,
PA3741,PA3741,,4194431,4194856,-,acyl-CoA thioesterase,Lipid transport and metabolism,Q9HXQ3,
PA3742,rplS,,4195008,4195358,-,50S ribosomal protein L19,"Translation, ribosomal structure and biogenesis",Q9HXQ2,
PA3743,trmD,,4195400,4196158,-,tRNA (guanine-N(1)-)-methyltransferase,"Translation, ribosomal structure and biogenesis",Q9HXQ1,
PA3744,rimM,,4196165,4196692,-,ribosome maturation factor RimM,"Translation, ribosomal structure and biogenesis",Q9HXQ0,
PA3745,rpsP,,4196708,4196959,-,30S ribosomal protein S16,"Translation, ribosomal structure and biogenesis",Q9HXP9,
PA3746,ffh,,4197169,4198542,-,signal recognition particle protein Ffh,"Intracellular trafficking, secretion, and vesicular transport",Q9HXP8,
PA3747,PA3747,,4198843,4199643,+,hypothetical protein,Function unknown,Q9HXP7,
PA3748,PA3748,,4199656,4200948,+,hypothetical protein,Inorganic ion transport and metabolism,Q9HXP6,
PA3749,PA3749,,4201252,4202565,+,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9HXP5,
PA3750,PA3750,,4202573,4203322,-,hypothetical protein,Amino acid transport and metabolism,Q9HXP4,
PA3751,purT,,4203324,4204505,-,phosphoribosylglycinamide formyltransferase,Nucleotide transport and metabolism,Q9HXP3,
PA3752,PA3752,,4204543,4204737,-,hypothetical protein,Function unknown,Q9HXP2,
PA3753,PA3753,,4204734,4205258,-,hypothetical protein,Function unknown,P40882,
PA3754,PA3754,,4205296,4205907,-,hypothetical protein,"Replication, recombination and repair",Q9HXP1,
PA3755,PA3755,,4206048,4206602,+,hypothetical protein,Nucleotide transport and metabolism,Q9HXP0,
PA3756,PA3756,,4206665,4207165,+,hypothetical protein,Function unknown,Q9HXN9,
PA3757,PA3757,,4207408,4208151,+,transcriptional regulator,Transcription,Q9HXN8,NagQ
PA3758,PA3758,,4208168,4209259,+,N-acetylglucosamine-6-phosphate deacetylase,Carbohydrate transport and metabolism,Q9HXN7,NagQ
PA3759,PA3759,,4209256,4210278,+,aminotransferase,Cell wall/membrane/envelope biogenesis,Q9HXN6,NagQ
PA3760,PA3760,,4210295,4212823,+,N-acetyl-D-glucosamine phosphotransferase system transporter,Carbohydrate transport and metabolism,Q9HXN5,NagQ
PA3761,PA3761,,4212848,4214560,+,N-acetyl-D-glucosamine phosphotransferase system transporter,Carbohydrate transport and metabolism,Q9HXN4,NagQ
PA3762,PA3762,,4214762,4215079,-,hypothetical protein,Function unknown,Q9HXN3,
PA3763,purL,,4215544,4219440,-,phosphoribosylformylglycinamidine synthase,Nucleotide transport and metabolism,Q9HXN2,
PA3764,PA3764,,4219841,4221199,+,membrane-bound lytic murein transglycosylase F,Cell wall/membrane/envelope biogenesis,Q9HXN1,
PA3765,PA3765,,4221213,4221797,-,hypothetical protein,Function unknown,Q9HXN0,
PA3766,PA3766,,4221923,4223179,-,aromatic amino acid transporter,Amino acid transport and metabolism,Q9HXM9,
PA3767,PA3767,,4223568,4224116,-,hypothetical protein,Nucleotide transport and metabolism,Q9HXM8,
PA3768,PA3768,,4224107,4225498,-,metallo-oxidoreductase,"Secondary metabolites biosynthesis, transport, and catabolism",Q9HXM7,
PA3769,guaA,,4225660,4227237,-,GMP synthase,Nucleotide transport and metabolism,Q9HXM6,
PA3770,guaB,,4227317,4228786,-,inosine 5'-monophosphate dehydrogenase,Nucleotide transport and metabolism,Q9HXM5,
PA3771,PA3771,,4229050,4230027,+,transcriptional regulator,Transcription,Q9HXM4,
PA3772,PA3772,,4230162,4231058,+,hypothetical protein,Energy production and conversion,Q9HXM3,
PA3773,PA3773,,4231071,4232228,+,hypothetical protein,Amino acid transport and metabolism,Q9HXM2,
PA3774,PA3774,,4232258,4233400,+,acetylpolyamine aminohydrolase,Chromatin structure and dynamics,Q9HXM1,
PA3775,PA3775,,4233385,4234167,-,hypothetical protein,Function unknown,Q9HXM0,
PA3776,PA3776,,4234275,4235183,+,transcriptional regulator,Transcription,Q9HXL9,
PA3777,xseA,,4235220,4236599,+,exodeoxyribonuclease VII large subunit,"Replication, recombination and repair",Q9HXL8,
PA3778,PA3778,,4236606,4237541,+,transcriptional regulator,Transcription,Q9HXL7,
PA3779,PA3779,,4237693,4238733,+,hypothetical protein,Carbohydrate transport and metabolism,Q9HXL6,
PA3780,PA3780,,4238808,4239302,+,hypothetical protein,Carbohydrate transport and metabolism,Q9HXL5,
PA3781,PA3781,,4239299,4240579,+,transporter,Carbohydrate transport and metabolism,Q9HXL4,
PA3782,PA3782,,4241342,4242295,-,transcriptional regulator,Transcription,Q9HXL3,
PA3783,PA3783,,4242416,4243045,+,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9HXL2,
PA3784,PA3784,,4243080,4243652,-,hypothetical protein,No COG annotation,Q9HXL1,
PA3785,PA3785,,4243709,4244185,-,hypothetical protein,Function unknown,Q9HXL0,
PA3786,PA3786,,4244315,4244704,-,hypothetical protein,Function unknown,Q9HXK9,
PA3787,PA3787,,4244876,4245724,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HXK8,
PA3788,PA3788,,4245810,4246205,+,hypothetical protein,Function unknown,Q9HXK7,
PA3789,PA3789,,4246223,4247638,-,hypothetical protein,Function unknown,G3XCX0,
PA3790,oprC,,4247703,4249874,-,copper transport outer membrane porin OprC,Inorganic ion transport and metabolism,G3XD89,
PA3791,PA3791,,4249995,4250456,-,hypothetical protein,Function unknown,Q9HXK6,
PA3792,leuA,,4250828,4252606,+,2-isopropylmalate synthase,Amino acid transport and metabolism,Q9HXK5,
PA3793,PA3793,,4252677,4253009,-,hypothetical protein,No COG annotation,Q9HXK4,
PA3794,PA3794,,4253063,4253518,-,hypothetical protein,No COG annotation,Q9HXK3,
